Time,Channel A
(ms),(V)

-500.00967399,4.28174700
-499.99967399,4.27808500
-499.98967399,4.29197100
-499.97967399,4.29197100
-499.96967399,4.28098400
-499.95967399,4.28464600
-499.94967399,4.29410700
-499.93967399,4.28174700
-499.92967399,4.28540900
-499.91967399,4.25489000
-499.90967399,4.29044500
-499.89967399,4.30936600
-499.88967399,4.28312000
-499.87967399,4.29197100
-499.86967399,4.28891800
-499.85967400,4.29990500
-499.84967400,4.28678200
-499.83967400,4.30646700
-499.82967400,4.30860300
-499.81967400,4.28601900
-499.80967400,4.29197100
-499.79967400,4.30280400
-499.78967400,4.29624300
-499.77967400,4.26282500
-499.76967400,4.29410700
-499.75967400,4.31012900
-499.74967400,4.30417800
-499.73967400,4.29624300
-499.72967400,4.31440200
-499.71967400,4.29548000
-499.70967400,4.30494100
-499.69967400,4.28968200
-499.68967400,4.29914200
-499.67967400,4.30570400
-499.66967400,4.29120800
-499.65967400,4.28601900
-499.64967400,4.27671100
-499.63967400,4.29258100
-499.62967400,4.26496200
-499.61967400,4.29120800
-499.60967400,4.28891800
-499.59967400,4.29334400
-499.58967400,4.29487000
-499.57967400,4.28174700
-499.56967400,4.26786100
-499.55967400,4.28678200
-499.54967400,4.29197100
-499.53967400,4.28891800
-499.52967400,4.31074000
-499.51967400,4.28312000
-499.50967400,4.28022100
-499.49967400,4.28968200
-499.48967400,4.29990500
-499.47967400,4.30417800
-499.46967401,4.30723000
-499.45967401,4.26862400
-499.44967401,4.28678200
-499.43967401,4.29487000
-499.42967401,4.31592800
-499.41967401,4.28388300
-499.40967401,4.26358800
-499.39967401,4.28540900
-499.38967401,4.30066800
-499.37967401,4.27442300
-499.36967401,4.27808500
-499.35967401,4.30066800
-499.34967401,4.28098400
-499.33967401,4.27366000
-499.32967401,4.29990500
-499.31967401,4.31516500
-499.30967401,4.28174700
-499.29967401,4.28968200
-499.28967401,4.31150200
-499.27967401,4.29120800
-499.26967401,4.28312000
-499.25967401,4.30417800
-499.24967401,4.29990500
-499.23967401,4.29700600
-499.22967401,4.28098400
-499.21967401,4.27366000
-499.20967401,4.30127900
-499.19967401,4.27732200
-499.18967401,4.29776900
-499.17967401,4.28754500
-499.16967401,4.29990500
-499.15967401,4.27884800
-499.14967401,4.29044500
-499.13967401,4.27442300
-499.12967401,4.27961100
-499.11967401,4.29197100
-499.10967401,4.27442300
-499.09967401,4.30127900
-499.08967401,4.28540900
-499.07967401,4.28968200
-499.06967402,4.28098400
-499.05967402,4.29776900
-499.04967402,4.28891800
-499.03967402,4.28312000
-499.02967402,4.27594900
-499.01967402,4.27152300
-499.00967402,4.27152300
-498.99967402,4.28022100
-498.98967402,4.28540900
-498.97967402,4.27228600
-498.96967402,4.28251000
-498.95967402,4.30066800
-498.94967402,4.29197100
-498.93967402,4.27076000
-498.92967402,4.28830800
-498.91967402,4.29700600
-498.90967402,4.30127900
-498.89967402,4.27594900
-498.88967402,4.29990500
-498.87967402,4.30936600
-498.86967402,4.32538800
-498.85967402,4.32599900
-498.84967402,4.27884800
-498.83967402,4.29700600
