-63720, 36400, 4238927, 1, 0
-58140, 36400, 4239013, 1, 0
-64980, 36400, 4239100, 1, 0
-61020, 36400, 4239186, 1, 0
-62820, 36400, 4239272, 1, 0
-66600, 36400, 4239359, 1, 0
-63180, 36400, 4239445, 1, 0
-67140, 36400, 4239531, 1, 0
-65160, 36400, 4239618, 1, 0
-62280, 36400, 4239707, 1, 0
-65160, 36400, 4239790, 1, 0
-61560, 36400, 4239877, 1, 0
-67860, 36400, 4239963, 1, 0
-67500, 36400, 4240050, 1, 0
-60480, 36400, 4240136, 1, 0
-62640, 36400, 4240222, 1, 0
-63900, 36400, 4240309, 1, 0
-61020, 36400, 4240395, 1, 0
-55800, 36400, 4240482, 1, 0
-55080, 36400, 4240568, 1, 0
-61920, 36400, 4240654, 1, 0
-62280, 36400, 4240741, 1, 0
-55980, 36400, 4240827, 1, 0
-64080, 36400, 4240913, 1, 0
-65700, 36400, 4241000, 1, 0
-65340, 36400, 4241086, 1, 0
-64800, 36400, 4241172, 1, 0
-58680, 36400, 4241259, 1, 0
-59940, 36400, 4241345, 1, 0
-60840, 36400, 4241431, 1, 0
-63000, 36400, 4241518, 1, 0
-62640, 36400, 4241604, 1, 0
-54900, 36400, 4241691, 1, 0
-56340, 36400, 4241777, 1, 0
-55440, 36400, 4241863, 1, 0
-53280, 36400, 4241949, 1, 0
-61200, 36400, 4242036, 1, 0
-59760, 36400, 4242122, 1, 0
-61380, 36400, 4242209, 1, 0
-66960, 36400, 4242295, 1, 0
-56880, 36400, 4242381, 1, 0
-65520, 36400, 4242468, 1, 0
-61740, 36400, 4242554, 1, 0
-47340, 36400, 4242640, 1, 0
-62460, 36400, 4242727, 1, 0
-60840, 36400, 4242813, 1, 0
-60840, 36400, 4242899, 1, 0
-61020, 36400, 4242986, 1, 0
-58500, 36400, 4243072, 1, 0
-60300, 36400, 4243159, 1, 0
-50400, 36400, 4243245, 1, 0
-46620, 36400, 4243331, 1, 0
-50220, 36400, 4243418, 1, 0
-49500, 36400, 4243504, 1, 0
-55800, 36400, 4243590, 1, 0
-57060, 36400, 4243677, 1, 0
-55980, 36400, 4243763, 1, 0
-55980, 36400, 4243850, 1, 0
-48060, 36400, 4243936, 1, 0
-49680, 36400, 4244022, 1, 0
-54360, 36400, 4244109, 1, 0
-57960, 36400, 4244195, 1, 0
-60120, 36400, 4244282, 1, 0
-61200, 36400, 4244368, 1, 0
-54360, 36400, 4244454, 1, 0
-57240, 36400, 4244541, 1, 0
-55080, 36400, 4244627, 1, 0
-61380, 36400, 4244713, 1, 0
-58860, 36400, 4244800, 1, 0
-54180, 36400, 4244886, 1, 0
-57600, 36400, 4244972, 1, 0
-60300, 36400, 4245059, 1, 0
-57600, 36400, 4245145, 1, 0
-61560, 36400, 4245231, 1, 0
-58500, 36400, 4245318, 1, 0
-58860, 36400, 4245404, 1, 0
-56880, 36400, 4245490, 1, 0
-50940, 36400, 4245577, 1, 0
-49680, 36400, 4245663, 1, 0
-51120, 36400, 4245750, 1, 0
-57780, 36400, 4245836, 1, 0
-65520, 36400, 4245922, 1, 0
-66780, 36400, 4246009, 1, 0
-68760, 36400, 4246095, 1, 0
-61560, 36400, 4246181, 1, 0
-56160, 36400, 4246268, 1, 0
-64260, 36400, 4246354, 1, 0
-68580, 36400, 4246441, 1, 0
-66780, 36400, 4246527, 1, 0
-60480, 36400, 4246613, 1, 0
-56700, 36400, 4246700, 1, 0
-62100, 36400, 4246786, 1, 0
-55440, 36400, 4246873, 1, 0
-59580, 36400, 4246959, 1, 0
-65880, 36400, 4247045, 1, 0
-55260, 36400, 4247132, 1, 0
-61560, 36400, 4247218, 1, 0
-62460, 36400, 4247304, 1, 0
-59940, 36400, 4247391, 1, 0
-63000, 36400, 4247477, 1, 0
-57420, 36400, 4247563, 1, 0
-60660, 36400, 4247650, 1, 0
-60120, 36400, 4247736, 1, 0
-62640, 36400, 4247823, 1, 0
-68940, 36400, 4247909, 1, 0
-61920, 36400, 4247995, 1, 0
-56160, 36400, 4248082, 1, 0
-62280, 36400, 4248168, 1, 0
-58320, 36400, 4248254, 1, 0
-62100, 36400, 4248341, 1, 0
-63720, 36400, 4248427, 1, 0
-63360, 36400, 4248513, 1, 0
-67500, 36400, 4248600, 1, 0
-58320, 36400, 4248686, 1, 0
-61020, 36400, 4248772, 1, 0
-63000, 36400, 4248859, 1, 0
-59580, 36400, 4248945, 1, 0
-65880, 36400, 4249031, 1, 0
