Time,Channel A
(ms),(V)

-500.00885973,3.28135000
-499.99885973,3.28424900
-499.98885973,3.29584600
-499.97885973,3.29508400
-499.96885974,3.25815600
-499.95885974,3.30896900
-499.94885974,3.28577500
-499.93885974,3.27768800
-499.92885974,3.26395500
-499.91885974,3.25952900
-499.90885974,3.29737200
-499.89885974,3.26761700
-499.88885974,3.28058700
-499.87885974,3.26395500
-499.86885974,3.29218400
-499.85885974,3.27997700
-499.84885974,3.29157400
-499.83885974,3.28424900
-499.82885974,3.27921400
-499.81885974,3.29157400
-499.80885974,3.30896900
-499.79885974,3.27631400
-499.78885974,3.28348600
-499.77885974,3.28287600
-499.76885974,3.28867500
-499.75885974,3.26105500
-499.74885974,3.26532800
-499.73885974,3.28424900
-499.72885974,3.27921400
-499.71885974,3.27265200
-499.70885974,3.30744300
-499.69885974,3.29157400
-499.68885974,3.29371000
-499.67885974,3.28714900
-499.66885974,3.27555200
-499.65885974,3.29950900
-499.64885974,3.29218400
-499.63885974,3.28867500
-499.62885974,3.27997700
-499.61885974,3.27845100
-499.60885974,3.28928500
-499.59885974,3.26685400
-499.58885974,3.30973200
-499.57885975,3.27768800
-499.56885975,3.29737200
-499.55885975,3.30530700
-499.54885975,3.28638600
-499.53885975,3.27997700
-499.52885975,3.27997700
-499.51885975,3.29294700
-499.50885975,3.27555200
-499.49885975,3.26242900
-499.48885975,3.28287600
-499.47885975,3.27768800
-499.46885975,3.26822700
-499.45885975,3.28791200
-499.44885975,3.27188900
-499.43885975,3.28638600
-499.42885975,3.29371000
-499.41885975,3.29737200
-499.40885975,3.28867500
-499.39885975,3.28058700
-499.38885975,3.30027200
-499.37885975,3.27341500
-499.36885975,3.27845100
-499.35885975,3.27631400
-499.34885975,3.28287600
-499.33885975,3.27341500
-499.32885975,3.28638600
-499.31885975,3.29157400
-499.30885975,3.28501200
-499.29885975,3.28287600
-499.28885975,3.29447300
-499.27885975,3.29004800
-499.26885975,3.26761700
-499.25885975,3.31110600
-499.24885975,3.28867500
-499.23885975,3.29294700
-499.22885975,3.26975300
-499.21885975,3.28424900
-499.20885975,3.28714900
-499.19885975,3.29157400
-499.18885975,3.28577500
-499.17885976,3.29447300
-499.16885976,3.27402600
-499.15885976,3.28867500
-499.14885976,3.27631400
-499.13885976,3.28348600
-499.12885976,3.26105500
-499.11885976,3.28501200
-499.10885976,3.27768800
-499.09885976,3.27188900
-499.08885976,3.28211300
-499.07885976,3.29157400
-499.06885976,3.26609100
-499.05885976,3.30164500
-499.04885976,3.27478900
-499.03885976,3.26471800
-499.02885976,3.28211300
-499.01885976,3.30393400
-499.00885976,3.27188900
-498.99885976,3.28638600
-498.98885976,3.27921400
-498.97885976,3.30164500
-498.96885976,3.26532800
-498.95885976,3.28058700
-498.94885976,3.29157400
-498.93885976,3.26319200
-498.92885976,3.30088200
-498.91885976,3.26761700
-498.90885976,3.27997700
-498.89885976,3.27341500
-498.88885976,3.28135000
-498.87885976,3.27921400
-498.86885976,3.30683300
-498.85885976,3.28928500
-498.84885976,3.28577500
-498.83885976,3.26471800
