Time,Channel A
(ms),(V)

-500.01001358,3.27723000
-500.00001358,3.29401500
-499.99001358,3.28379200
-499.98001358,3.27723000
-499.97001358,3.28531800
-499.96001358,3.28089200
-499.95001358,3.30408600
-499.94001358,3.26273400
-499.93001358,3.27372100
-499.92001358,3.27082100
-499.91001358,3.27951900
-499.90001358,3.30927500
-499.89001358,3.28531800
-499.88001358,3.28455400
-499.87001358,3.29248900
-499.86001358,3.28745400
-499.85001358,3.29401500
-499.84001358,3.27662000
-499.83001358,3.28012900
-499.82001359,3.30118700
-499.81001359,3.27799300
-499.80001359,3.26929500
-499.79001359,3.27509400
-499.78001359,3.29187900
-499.77001359,3.27875600
-499.76001359,3.27875600
-499.75001359,3.29035300
-499.74001359,3.30057700
-499.73001359,3.29035300
-499.72001359,3.27951900
-499.71001359,3.29477800
-499.70001359,3.26349700
-499.69001359,3.30774900
-499.68001359,3.26792200
-499.67001359,3.30988500
-499.66001359,3.29767800
-499.65001359,3.27662000
-499.64001359,3.28379200
-499.63001359,3.28165500
-499.62001359,3.28012900
-499.61001359,3.26197100
-499.60001359,3.28821700
-499.59001359,3.25769800
-499.58001359,3.26197100
-499.57001359,3.28302900
-499.56001359,3.26715900
-499.55001359,3.27951900
-499.54001359,3.27372100
-499.53001359,3.29035300
-499.52001359,3.30057700
-499.51001359,3.28882700
-499.50001359,3.28455400
-499.49001359,3.27143200
-499.48001359,3.30195000
-499.47001359,3.27372100
-499.46001359,3.30561200
-499.45001359,3.26349700
-499.44001359,3.30195000
-499.43001359,3.29248900
-499.42001360,3.28882700
-499.41001360,3.27433100
-499.40001360,3.29691500
-499.39001360,3.28745400
-499.38001360,3.28241800
-499.37001360,3.29035300
-499.36001360,3.28241800
-499.35001360,3.29828800
-499.34001360,3.28012900
-499.33001360,3.26853200
-499.32001360,3.26426000
-499.31001360,3.29615200
-499.30001360,3.29248900
-499.29001360,3.26639600
-499.28001360,3.27951900
-499.27001360,3.27723000
-499.26001360,3.29035300
-499.25001360,3.30988500
-499.24001360,3.26426000
-499.23001360,3.29325200
-499.22001360,3.27723000
-499.21001360,3.26563300
-499.20001360,3.26639600
-499.19001360,3.28882700
-499.18001360,3.27295800
-499.17001360,3.30698600
-499.16001360,3.27082100
-499.15001360,3.30774900
-499.14001360,3.29111600
-499.13001360,3.29828800
-499.12001360,3.29538900
-499.11001360,3.29691500
-499.10001360,3.29905100
-499.09001360,3.28669100
-499.08001360,3.31354700
-499.07001360,3.30774900
-499.06001360,3.29905100
-499.05001360,3.28165500
-499.04001360,3.29187900
-499.03001361,3.27799300
-499.02001361,3.29248900
-499.01001361,3.27875600
-499.00001361,3.30118700
-498.99001361,3.27875600
-498.98001361,3.25266300
-498.97001361,3.27875600
-498.96001361,3.27799300
-498.95001361,3.25983500
-498.94001361,3.28379200
-498.93001361,3.29767800
-498.92001361,3.29477800
-498.91001361,3.26197100
-498.90001361,3.29248900
-498.89001361,3.29325200
-498.88001361,3.28592800
-498.87001361,3.28379200
-498.86001361,3.30195000
-498.85001361,3.28882700
-498.84001361,3.29981400
