Time,Channel A
(ms),(V)

-500.00643782,3.29294700
-499.99643782,3.28424900
-499.98643782,3.28714900
-499.97643782,3.28928500
-499.96643782,3.28424900
-499.95643782,3.27188900
-499.94643782,3.29737200
-499.93643782,3.29004800
-499.92643782,3.27341500
-499.91643783,3.27997700
-499.90643783,3.29004800
-499.89643783,3.31400500
-499.88643783,3.27768800
-499.87643783,3.29218400
-499.86643783,3.28135000
-499.85643783,3.27845100
-499.84643783,3.27265200
-499.83643783,3.29294700
-499.82643783,3.26319200
-499.81643783,3.30454400
-499.80643783,3.27112700
-499.79643783,3.27845100
-499.78643783,3.26242900
-499.77643783,3.26532800
-499.76643783,3.31110600
-499.75643783,3.28287600
-499.74643783,3.27402600
-499.73643783,3.27768800
-499.72643783,3.27112700
-499.71643783,3.28287600
-499.70643783,3.27341500
-499.69643783,3.28058700
-499.68643783,3.28058700
-499.67643783,3.29294700
-499.66643783,3.28638600
-499.65643783,3.28577500
-499.64643783,3.30454400
-499.63643783,3.29004800
-499.62643783,3.28424900
-499.61643783,3.27845100
-499.60643783,3.29798300
-499.59643783,3.26395500
-499.58643783,3.27997700
-499.57643783,3.30896900
-499.56643783,3.27768800
-499.55643783,3.29584600
-499.54643783,3.29294700
-499.53643783,3.28211300
-499.52643783,3.28058700
-499.51643784,3.29294700
-499.50643784,3.30744300
-499.49643784,3.28501200
-499.48643784,3.28638600
-499.47643784,3.28501200
-499.46643784,3.26822700
-499.45643784,3.28058700
-499.44643784,3.27707700
-499.43643784,3.27051600
-499.42643784,3.26029200
-499.41643784,3.30683300
-499.40643784,3.29584600
-499.39643784,3.28135000
-499.38643784,3.29508400
-499.37643784,3.29157400
-499.36643784,3.28928500
-499.35643784,3.30164500
-499.34643784,3.26975300
-499.33643784,3.29874600
-499.32643784,3.29798300
-499.31643784,3.27188900
-499.30643784,3.28714900
-499.29643784,3.29081100
-499.28643784,3.29218400
-499.27643784,3.29004800
-499.26643784,3.29660900
-499.25643784,3.27921400
-499.24643784,3.28791200
-499.23643784,3.28638600
-499.22643784,3.27768800
-499.21643784,3.28714900
-499.20643784,3.27768800
-499.19643784,3.29950900
-499.18643784,3.27921400
-499.17643784,3.28714900
-499.16643784,3.27921400
-499.15643784,3.26822700
-499.14643784,3.28424900
-499.13643784,3.29660900
-499.12643784,3.27631400
-499.11643785,3.26975300
-499.10643785,3.27997700
-499.09643785,3.28211300
-499.08643785,3.29157400
-499.07643785,3.26822700
-499.06643785,3.29737200
-499.05643785,3.28791200
-499.04643785,3.28135000
-499.03643785,3.28577500
-499.02643785,3.29081100
-499.01643785,3.27631400
-499.00643785,3.28928500
-498.99643785,3.28638600
-498.98643785,3.26975300
-498.97643785,3.28348600
-498.96643785,3.29157400
-498.95643785,3.29737200
-498.94643785,3.29157400
-498.93643785,3.31766700
-498.92643785,3.30530700
-498.91643785,3.31110600
-498.90643785,3.28287600
-498.89643785,3.27555200
-498.88643785,3.29508400
-498.87643785,3.28424900
-498.86643785,3.30027200
-498.85643785,3.29157400
-498.84643785,3.29004800
-498.83643785,3.28928500
