Time,Channel A
(ms),(V)

-500.00910760,3.25815600
-499.99910760,3.28577500
-499.98910760,3.29950900
-499.97910760,3.29294700
-499.96910760,3.29294700
-499.95910760,3.26319200
-499.94910760,3.28135000
-499.93910760,3.27631400
-499.92910760,3.29798300
-499.91910760,3.30027200
-499.90910760,3.29798300
-499.89910760,3.26899000
-499.88910760,3.28577500
-499.87910760,3.28791200
-499.86910760,3.28867500
-499.85910760,3.28348600
-499.84910760,3.27768800
-499.83910760,3.30164500
-499.82910760,3.29081100
-499.81910760,3.29584600
-499.80910760,3.29798300
-499.79910760,3.27768800
-499.78910760,3.27555200
-499.77910760,3.28928500
-499.76910760,3.28577500
-499.75910760,3.27402600
-499.74910760,3.26822700
-499.73910760,3.26319200
-499.72910760,3.30027200
-499.71910760,3.28211300
-499.70910760,3.26899000
-499.69910761,3.26609100
-499.68910761,3.27341500
-499.67910761,3.29218400
-499.66910761,3.30317100
-499.65910761,3.27631400
-499.64910761,3.29218400
-499.63910761,3.27402600
-499.62910761,3.27112700
-499.61910761,3.27845100
-499.60910761,3.29294700
-499.59910761,3.28714900
-499.58910761,3.30393400
-499.57910761,3.27997700
-499.56910761,3.27845100
-499.55910761,3.30393400
-499.54910761,3.28928500
-499.53910761,3.27845100
-499.52910761,3.28714900
-499.51910761,3.29660900
-499.50910761,3.29660900
-499.49910761,3.28867500
-499.48910761,3.29157400
-499.47910761,3.27112700
-499.46910761,3.29004800
-499.45910761,3.28501200
-499.44910761,3.28135000
-499.43910761,3.27631400
-499.42910761,3.28058700
-499.41910761,3.26822700
-499.40910761,3.31186900
-499.39910761,3.29660900
-499.38910761,3.29218400
-499.37910761,3.26609100
-499.36910761,3.28058700
-499.35910761,3.27921400
-499.34910761,3.29081100
-499.33910761,3.27631400
-499.32910761,3.28424900
-499.31910761,3.27997700
-499.30910762,3.27768800
-499.29910762,3.28287600
-499.28910762,3.26822700
-499.27910762,3.25022100
-499.26910762,3.27112700
-499.25910762,3.27707700
-499.24910762,3.29294700
-499.23910762,3.27112700
-499.22910762,3.27051600
-499.21910762,3.28211300
-499.20910762,3.27921400
-499.19910762,3.28867500
-499.18910762,3.29081100
-499.17910762,3.29157400
-499.16910762,3.27707700
-499.15910762,3.31034300
-499.14910762,3.29004800
-499.13910762,3.26395500
-499.12910762,3.28791200
-499.11910762,3.28577500
-499.10910762,3.26609100
-499.09910762,3.26822700
-499.08910762,3.27555200
-499.07910762,3.27341500
-499.06910762,3.26899000
-499.05910762,3.29157400
-499.04910762,3.29798300
-499.03910762,3.26899000
-499.02910762,3.29874600
-499.01910762,3.29950900
-499.00910762,3.28714900
-498.99910762,3.27341500
-498.98910762,3.28424900
-498.97910762,3.27341500
-498.96910762,3.27478900
-498.95910762,3.29218400
-498.94910762,3.27921400
-498.93910762,3.28135000
-498.92910762,3.29004800
-498.91910762,3.28577500
-498.90910763,3.30973200
-498.89910763,3.29081100
-498.88910763,3.28577500
-498.87910763,3.26181800
-498.86910763,3.25663000
-498.85910763,3.28867500
-498.84910763,3.30240800
-498.83910763,3.29157400
