Weight,CZL635
2326.0,7766581.0
871.68,3308990.0
589.23,2473916.0
286.45,1578120.0
150.11,1175935.0
0.0,715609.0
0.0,664264.0
-150.11,203489.0
-286.45,-185087.0
-589.23,-1079300.0
-871.68,-1930717.0
-2326.0,-6388981.0
-2915.23,-8129829.0
