Weight,Reading
-1500.52,-1591000
-1056.84,-858400
-620.06,-137700
-586.93,-83700
-443.68,147600
-401.45,229400
-286.1,417900
-150.15,639900
0,877900
150.15,1149800
286.1,1377400
401.45,1565900
443.68,1637100
586.93,1868400
620.06,1925700
1056.84,2645200
1500.52,3379500
1901.97,4045800
