Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),CZL635 (),Degraw (),TAL220 ()
83,1697377428707,2689296.0,669046.0,-701590.0,-952574.0
84,1697377428707,2690331.0,661964.0,-692474.0,-949700.0
85,1697377428707,2691367.0,660481.0,-698218.0,-950066.0
86,1697377428708,2692402.0,661770.0,-701325.0,-950521.0
87,1697377428710,2693438.0,663280.0,-698943.0,-951573.0
88,1697377428710,2694473.0,666571.0,-696884.0,-948156.0
89,1697377428712,2695508.0,666270.0,-691912.0,-947225.0
90,1697377428712,2696544.0,667268.0,-696451.0,-942483.0
91,1697377428713,2697579.0,666976.0,-697214.0,-946055.0
92,1697377428715,2698615.0,668882.0,-694876.0,-949694.0
93,1697377428715,2699650.0,667665.0,-703066.0,-946764.0
94,1697377428716,2700685.0,668731.0,-696834.0,-940000.0
95,1697377428718,2701721.0,674876.0,-696527.0,-942390.0
96,1697377428718,2702756.0,671492.0,-693149.0,-937469.0
97,1697377428720,2703791.0,668770.0,-692691.0,-940242.0
98,1697377428722,2704826.0,668514.0,-693788.0,-945867.0
99,1697377428722,2705862.0,665448.0,-699967.0,-951154.0
100,1697377428723,2706897.0,663693.0,-696232.0,-947352.0
101,1697377428725,2707932.0,669864.0,-694280.0,-950946.0
102,1697377428725,2708968.0,667538.0,-703739.0,-949138.0
103,1697377428727,2710003.0,667440.0,-698012.0,-948966.0
104,1697377428727,2711038.0,666419.0,-701131.0,-948859.0
105,1697377428729,2712074.0,664579.0,-697624.0,-957277.0
106,1697377428729,2713109.0,664486.0,-698406.0,-949703.0
107,1697377428730,2714144.0,666931.0,-695914.0,-948873.0
108,1697377428732,2715180.0,666098.0,-698085.0,-946691.0
109,1697377428732,2716215.0,663685.0,-702723.0,-947132.0
110,1697377428733,2717250.0,670311.0,-697045.0,-946519.0
111,1697377428735,2718286.0,671810.0,-698572.0,-945802.0
112,1697377428735,2719321.0,667783.0,-695101.0,-946069.0
113,1697377428741,2720356.0,666992.0,-699731.0,-943313.0
114,1697377428741,2721392.0,667603.0,-691985.0,-944778.0
115,1697377428741,2722427.0,670696.0,-689336.0,-942292.0
116,1697377428741,2723462.0,666849.0,-694452.0,-939027.0
117,1697377428741,2724498.0,667068.0,-695543.0,-946407.0
118,1697377428741,2725533.0,668894.0,-697025.0,-943634.0
119,1697377428742,2726568.0,666666.0,-694888.0,-944188.0
120,1697377428743,2727604.0,667060.0,-697014.0,-946514.0
121,1697377428744,2728639.0,664976.0,-702836.0,-947107.0
122,1697377428746,2729675.0,662529.0,-697436.0,-951762.0
123,1697377428746,2730710.0,666196.0,-698032.0,-949855.0
124,1697377428747,2731745.0,665488.0,-700766.0,-947622.0
125,1697377428749,2732780.0,658935.0,-692370.0,-949557.0
126,1697377428751,2733816.0,656190.0,-699691.0,-948046.0
127,1697377428751,2734851.0,665716.0,-699084.0,-951717.0
128,1697377428753,2735886.0,671456.0,-699208.0,-951449.0
129,1697377428753,2736922.0,669622.0,-698181.0,-945431.0
130,1697377428755,2737957.0,668120.0,-700094.0,-949349.0
131,1697377428755,2738993.0,662071.0,-692354.0,-948015.0
132,1697377428756,2740028.0,668874.0,-696578.0,-946401.0
133,1697377428757,2741063.0,667963.0,-694598.0,-942717.0
134,1697377428758,2742099.0,669234.0,-690798.0,-945287.0
135,1697377428759,2743134.0,670936.0,-695979.0,-940534.0
136,1697377428761,2744169.0,666472.0,-695591.0,-943105.0
137,1697377428761,2745205.0,667620.0,-693926.0,-942838.0
138,1697377428762,2746240.0,666419.0,-701278.0,-947349.0
139,1697377428763,2747275.0,669484.0,-696848.0,-950434.0
140,1697377428764,2748311.0,663052.0,-700265.0,-950468.0
141,1697377428766,2749346.0,662478.0,-693296.0,-949079.0
142,1697377428766,2750381.0,660498.0,-699812.0,-949436.0
143,1697377428767,2751417.0,667375.0,-699750.0,-952681.0
144,1697377428769,2752452.0,662329.0,-699689.0,-950991.0
145,1697377428769,2753487.0,665507.0,-694238.0,-951568.0
146,1697377428770,2754523.0,666869.0,-705491.0,-950541.0
147,1697377428773,2755558.0,665063.0,-696156.0,-946820.0
148,1697377428773,2756593.0,668067.0,-699185.0,-945886.0
149,1697377428774,2757629.0,668351.0,-694505.0,-942326.0
150,1697377428775,2758664.0,662113.0,-695613.0,-942019.0
151,1697377428776,2759699.0,667434.0,-699629.0,-946207.0
152,1697377428778,2760735.0,670353.0,-698336.0,-943634.0
153,1697377428778,2761770.0,668461.0,-696772.0,-942663.0
154,1697377428779,2762806.0,672901.0,-691895.0,-943313.0
155,1697377428781,2763841.0,670629.0,-695594.0,-939721.0
156,1697377428781,2764877.0,665114.0,-696330.0,-944075.0
157,1697377428782,2765912.0,669751.0,-696339.0,-946736.0
158,1697377428783,2766947.0,666430.0,-701505.0,-952636.0
159,1697377428785,2767982.0,662996.0,-704242.0,-948004.0
160,1697377428785,2769018.0,663800.0,-693282.0,-947222.0
