Time,Channel A
(ms),(V)

-500.00952305,4.28312000
-499.99952305,4.28312000
-499.98952305,4.27671100
-499.97952305,4.29044500
-499.96952305,4.27884800
-499.95952305,4.29197100
-499.94952305,4.28891800
-499.93952305,4.27152300
-499.92952305,4.29258100
-499.91952305,4.28464600
-499.90952305,4.31806400
-499.89952305,4.28601900
-499.88952305,4.29487000
-499.87952305,4.27076000
-499.86952305,4.28312000
-499.85952305,4.28174700
-499.84952305,4.30646700
-499.83952305,4.29837900
-499.82952305,4.28891800
-499.81952305,4.29120800
-499.80952305,4.27366000
-499.79952305,4.29197100
-499.78952305,4.28464600
-499.77952305,4.27076000
-499.76952305,4.28891800
-499.75952305,4.29914200
-499.74952305,4.29837900
-499.73952305,4.28022100
-499.72952305,4.27884800
-499.71952305,4.28830800
-499.70952305,4.28251000
-499.69952305,4.27808500
-499.68952305,4.28968200
-499.67952306,4.30204200
-499.66952306,4.27076000
-499.65952306,4.29044500
-499.64952306,4.29837900
-499.63952306,4.29120800
-499.62952306,4.28388300
-499.61952306,4.29914200
-499.60952306,4.27076000
-499.59952306,4.28464600
-499.58952306,4.29334400
-499.57952306,4.30356700
-499.56952306,4.31150200
-499.55952306,4.31150200
-499.54952306,4.29776900
-499.53952306,4.31074000
-499.52952306,4.30494100
-499.51952306,4.28312000
-499.50952306,4.26572500
-499.49952306,4.26725100
-499.48952306,4.28174700
-499.47952306,4.29258100
-499.46952306,4.16257200
-499.45952306,4.28540900
-499.44952306,4.27884800
-499.43952306,4.26572500
-499.42952306,4.30570400
-499.41952306,4.27518600
-499.40952306,4.30860300
-499.39952306,4.28312000
-499.38952306,4.30936600
-499.37952306,4.28754500
-499.36952306,4.28251000
-499.35952306,4.29044500
-499.34952306,4.28968200
-499.33952306,4.27228600
-499.32952306,4.27671100
-499.31952306,4.28251000
-499.30952306,4.29990500
-499.29952306,4.30417800
-499.28952306,4.29487000
-499.27952307,4.30494100
-499.26952307,4.30860300
-499.25952307,4.28098400
-499.24952307,4.28388300
-499.23952307,4.29700600
-499.22952307,4.28174700
-499.21952307,4.30646700
-499.20952307,4.29990500
-499.19952307,4.30494100
-499.18952307,4.27442300
-499.17952307,4.29914200
-499.16952307,4.30066800
-499.15952307,4.28098400
-499.14952307,4.28540900
-499.13952307,4.27808500
-499.12952307,4.27884800
-499.11952307,4.29548000
-499.10952307,4.29776900
-499.09952307,4.29548000
-499.08952307,4.29044500
-499.07952307,4.28754500
-499.06952307,4.29837900
-499.05952307,4.27961100
-499.04952307,4.30417800
-499.03952307,4.30204200
-499.02952307,4.27671100
-499.01952307,4.30127900
-499.00952307,4.29548000
-498.99952307,4.29990500
-498.98952307,4.28098400
-498.97952307,4.26938700
-498.96952307,4.28754500
-498.95952307,4.28968200
-498.94952307,4.28174700
-498.93952307,4.32172600
-498.92952307,4.29120800
-498.91952307,4.27961100
-498.90952307,4.28968200
-498.89952307,4.30723000
-498.88952308,4.29548000
-498.87952308,4.30356700
-498.86952308,4.27884800
-498.85952308,4.28388300
-498.84952308,4.28754500
-498.83952308,4.29334400
