Time,Channel A
(ms),(V)

-500.00131228,4.31012900
-499.99131228,4.31226500
-499.98131228,4.26282500
-499.97131228,4.27961100
-499.96131228,4.28891800
-499.95131228,4.27366000
-499.94131228,4.30570400
-499.93131228,4.28891800
-499.92131228,4.30280400
-499.91131228,4.30936600
-499.90131228,4.28098400
-499.89131228,4.28174700
-499.88131228,4.29410700
-499.87131228,4.29120800
-499.86131229,4.29487000
-499.85131229,4.27808500
-499.84131229,4.29548000
-499.83131229,4.28540900
-499.82131229,4.27228600
-499.81131229,4.29700600
-499.80131229,4.28830800
-499.79131229,4.28540900
-499.78131229,4.31074000
-499.77131229,4.30494100
-499.76131229,4.29258100
-499.75131229,4.30936600
-499.74131229,4.27671100
-499.73131229,4.29990500
-499.72131229,4.30127900
-499.71131229,4.31012900
-499.70131229,4.28174700
-499.69131229,4.30127900
-499.68131229,4.27366000
-499.67131229,4.28830800
-499.66131229,4.30066800
-499.65131229,4.29914200
-499.64131229,4.31226500
-499.63131229,4.31150200
-499.62131229,4.29487000
-499.61131229,4.29120800
-499.60131229,4.30936600
-499.59131229,4.29197100
-499.58131229,4.31959000
-499.57131229,4.30860300
-499.56131229,4.28312000
-499.55131229,4.29044500
-499.54131229,4.29410700
-499.53131229,4.27732200
-499.52131229,4.29410700
-499.51131229,4.28891800
-499.50131229,4.28830800
-499.49131229,4.30417800
-499.48131229,4.27518600
-499.47131230,4.29700600
-499.46131230,4.29548000
-499.45131230,4.31150200
-499.44131230,4.28891800
-499.43131230,4.27808500
-499.42131230,4.26862400
-499.41131230,4.29197100
-499.40131230,4.27671100
-499.39131230,4.29776900
-499.38131230,4.28830800
-499.37131230,4.30356700
-499.36131230,4.29334400
-499.35131230,4.28251000
-499.34131230,4.29258100
-499.33131230,4.30204200
-499.32131230,4.28830800
-499.31131230,4.25336500
-499.30131230,4.29914200
-499.29131230,4.30280400
-499.28131230,4.29776900
-499.27131230,4.31226500
-499.26131230,4.29120800
-499.25131230,4.28251000
-499.24131230,4.28601900
-499.23131230,4.33118700
-499.22131230,4.29990500
-499.21131230,4.29120800
-499.20131230,4.27808500
-499.19131230,4.28754500
-499.18131230,4.27671100
-499.17131230,4.34202100
-499.16131230,4.29410700
-499.15131230,4.29197100
-499.14131230,4.31226500
-499.13131230,4.28601900
-499.12131230,4.27152300
-499.11131230,4.26862400
-499.10131230,4.30066800
-499.09131230,4.28540900
-499.08131230,4.29410700
-499.07131231,4.28312000
-499.06131231,4.29990500
-499.05131231,4.28540900
-499.04131231,4.28312000
-499.03131231,4.30784000
-499.02131231,4.30417800
-499.01131231,4.26282500
-499.00131231,4.28678200
-498.99131231,4.28678200
-498.98131231,4.29197100
-498.97131231,4.29700600
-498.96131231,4.29837900
-498.95131231,4.30127900
-498.94131231,4.29700600
-498.93131231,4.27961100
-498.92131231,4.27442300
-498.91131231,4.30280400
-498.90131231,4.30494100
-498.89131231,4.28540900
-498.88131231,4.27076000
-498.87131231,4.29197100
-498.86131231,4.29700600
-498.85131231,4.29197100
-498.84131231,4.29334400
-498.83131231,4.26572500
