Time,Channel A
(ms),(V)

-500.00673114,4.28754500
-499.99673114,4.27228600
-499.98673114,4.29914200
-499.97673114,4.29487000
-499.96673114,4.27884800
-499.95673114,4.29776900
-499.94673114,4.27961100
-499.93673114,4.29258100
-499.92673114,4.28968200
-499.91673114,4.26435100
-499.90673114,4.32020000
-499.89673114,4.31226500
-499.88673114,4.29700600
-499.87673114,4.29258100
-499.86673114,4.28891800
-499.85673114,4.27518600
-499.84673114,4.28312000
-499.83673114,4.27671100
-499.82673114,4.28968200
-499.81673114,4.30723000
-499.80673114,4.27961100
-499.79673114,4.28251000
-499.78673114,4.27015000
-499.77673114,4.28464600
-499.76673114,4.25992600
-499.75673114,4.30570400
-499.74673114,4.28388300
-499.73673114,4.30280400
-499.72673114,4.27366000
-499.71673114,4.28601900
-499.70673115,4.30280400
-499.69673115,4.29624300
-499.68673115,4.27518600
-499.67673115,4.27076000
-499.66673115,4.30204200
-499.65673115,4.28174700
-499.64673115,4.29990500
-499.63673115,4.29258100
-499.62673115,4.28388300
-499.61673115,4.29044500
-499.60673115,4.28678200
-499.59673115,4.27518600
-499.58673115,4.28540900
-499.57673115,4.30723000
-499.56673115,4.28540900
-499.55673115,4.28601900
-499.54673115,4.29334400
-499.53673115,4.28601900
-499.52673115,4.29776900
-499.51673115,4.28312000
-499.50673115,4.27442300
-499.49673115,4.28678200
-499.48673115,4.28464600
-499.47673115,4.25046500
-499.46673115,4.27808500
-499.45673115,4.27366000
-499.44673115,4.30417800
-499.43673115,4.27076000
-499.42673115,4.28830800
-499.41673115,4.27671100
-499.40673115,4.27152300
-499.39673115,4.30417800
-499.38673115,4.27304900
-499.37673115,4.27594900
-499.36673115,4.27304900
-499.35673115,4.27152300
-499.34673115,4.32462500
-499.33673115,4.29410700
-499.32673115,4.28678200
-499.31673116,4.29044500
-499.30673116,4.28388300
-499.29673116,4.29700600
-499.28673116,4.28312000
-499.27673116,4.29548000
-499.26673116,4.29410700
-499.25673116,4.26145200
-499.24673116,4.29914200
-499.23673116,4.29410700
-499.22673116,4.27671100
-499.21673116,4.29120800
-499.20673116,4.28540900
-499.19673116,4.29487000
-499.18673116,4.28891800
-499.17673116,4.27366000
-499.16673116,4.30280400
-499.15673116,4.29334400
-499.14673116,4.29258100
-499.13673116,4.30417800
-499.12673116,4.29548000
-499.11673116,4.29548000
-499.10673116,4.29044500
-499.09673116,4.30127900
-499.08673116,4.31730100
-499.07673116,4.30646700
-499.06673116,4.28098400
-499.05673116,4.30066800
-499.04673116,4.29410700
-499.03673116,4.27808500
-499.02673116,4.28388300
-499.01673116,4.29410700
-499.00673116,4.30066800
-498.99673116,4.29410700
-498.98673116,4.30723000
-498.97673116,4.29044500
-498.96673116,4.29624300
-498.95673116,4.30417800
-498.94673116,4.27076000
-498.93673116,4.28968200
-498.92673116,4.25916300
-498.91673117,4.28464600
-498.90673117,4.27808500
-498.89673117,4.28891800
-498.88673117,4.28891800
-498.87673117,4.29624300
-498.86673117,4.27015000
-498.85673117,4.30417800
-498.84673117,4.27366000
-498.83673117,4.29837900
