Time,Channel A
(ms),(V)

-500.00891983,4.28388300
-499.99891983,4.26435100
-499.98891983,4.28022100
-499.97891983,4.28678200
-499.96891983,4.28251000
-499.95891983,4.29197100
-499.94891983,4.27594900
-499.93891983,4.31012900
-499.92891983,4.31150200
-499.91891983,4.29120800
-499.90891983,4.27961100
-499.89891983,4.25916300
-499.88891983,4.29410700
-499.87891983,4.30646700
-499.86891983,4.31302800
-499.85891983,4.27366000
-499.84891983,4.29487000
-499.83891983,4.29837900
-499.82891983,4.28174700
-499.81891984,4.27884800
-499.80891984,4.30066800
-499.79891984,4.31516500
-499.78891984,4.27594900
-499.77891984,4.28968200
-499.76891984,4.30860300
-499.75891984,4.29197100
-499.74891984,4.29487000
-499.73891984,4.29624300
-499.72891984,4.26938700
-499.71891984,4.30417800
-499.70891984,4.28891800
-499.69891984,4.30723000
-499.68891984,4.29410700
-499.67891984,4.29624300
-499.66891984,4.27594900
-499.65891984,4.28098400
-499.64891984,4.29548000
-499.63891984,4.30494100
-499.62891984,4.29914200
-499.61891984,4.27961100
-499.60891984,4.29044500
-499.59891984,4.27442300
-499.58891984,4.28891800
-499.57891984,4.28312000
-499.56891984,4.27366000
-499.55891984,4.29700600
-499.54891984,4.25046500
-499.53891984,4.30127900
-499.52891984,4.27366000
-499.51891984,4.29334400
-499.50891984,4.30570400
-499.49891984,4.28251000
-499.48891984,4.28251000
-499.47891984,4.27732200
-499.46891984,4.31302800
-499.45891984,4.29197100
-499.44891984,4.30127900
-499.43891984,4.28754500
-499.42891984,4.28601900
-499.41891985,4.29258100
-499.40891985,4.30356700
-499.39891985,4.28464600
-499.38891985,4.31302800
-499.37891985,4.30066800
-499.36891985,4.27594900
-499.35891985,4.29776900
-499.34891985,4.30936600
-499.33891985,4.31302800
-499.32891985,4.27228600
-499.31891985,4.28830800
-499.30891985,4.29197100
-499.29891985,4.28678200
-499.28891985,4.29548000
-499.27891985,4.29197100
-499.26891985,4.27304900
-499.25891985,4.31363900
-499.24891985,4.30066800
-499.23891985,4.31730100
-499.22891985,4.27076000
-499.21891985,4.27671100
-499.20891985,4.28251000
-499.19891985,4.28464600
-499.18891985,4.30066800
-499.17891985,4.28891800
-499.16891985,4.28678200
-499.15891985,4.28754500
-499.14891985,4.29990500
-499.13891985,4.31074000
-499.12891985,4.25489000
-499.11891985,4.28830800
-499.10891985,4.27518600
-499.09891985,4.29914200
-499.08891985,4.28312000
-499.07891985,4.26648800
-499.06891985,4.29624300
-499.05891985,4.31150200
-499.04891985,4.29914200
-499.03891985,4.28388300
-499.02891986,4.28174700
-499.01891986,4.30127900
-499.00891986,4.28174700
-498.99891986,4.28601900
-498.98891986,4.29914200
-498.97891986,4.25779000
-498.96891986,4.28830800
-498.95891986,4.27228600
-498.94891986,4.27808500
-498.93891986,4.29487000
-498.92891986,4.29334400
-498.91891986,4.29044500
-498.90891986,4.29410700
-498.89891986,4.27808500
-498.88891986,4.30127900
-498.87891986,4.31012900
-498.86891986,4.27518600
-498.85891986,4.29120800
-498.84891986,4.31150200
-498.83891986,4.27304900
