Time,Channel A
(ms),(V)

-500.00627445,4.30127900
-499.99627445,4.29624300
-499.98627445,4.30127900
-499.97627445,4.30066800
-499.96627445,4.28891800
-499.95627445,4.29197100
-499.94627445,4.27884800
-499.93627445,4.28678200
-499.92627445,4.28540900
-499.91627445,4.26938700
-499.90627445,4.28251000
-499.89627445,4.29120800
-499.88627445,4.27671100
-499.87627445,4.29044500
-499.86627445,4.27518600
-499.85627445,4.28312000
-499.84627445,4.28174700
-499.83627445,4.29044500
-499.82627445,4.28830800
-499.81627445,4.31806400
-499.80627445,4.28601900
-499.79627446,4.29197100
-499.78627446,4.28678200
-499.77627446,4.31226500
-499.76627446,4.28601900
-499.75627446,4.29120800
-499.74627446,4.27152300
-499.73627446,4.27732200
-499.72627446,4.28174700
-499.71627446,4.31653800
-499.70627446,4.28601900
-499.69627446,4.29700600
-499.68627446,4.26358800
-499.67627446,4.29487000
-499.66627446,4.31074000
-499.65627446,4.27884800
-499.64627446,4.29837900
-499.63627446,4.28540900
-499.62627446,4.30417800
-499.61627446,4.31226500
-499.60627446,4.29487000
-499.59627446,4.30494100
-499.58627446,4.27808500
-499.57627446,4.29120800
-499.56627446,4.27442300
-499.55627446,4.28678200
-499.54627446,4.28891800
-499.53627446,4.28968200
-499.52627446,4.30646700
-499.51627446,4.31592800
-499.50627446,4.29487000
-499.49627446,4.29624300
-499.48627446,4.28312000
-499.47627446,4.30936600
-499.46627446,4.29334400
-499.45627446,4.29197100
-499.44627446,4.29548000
-499.43627446,4.30417800
-499.42627446,4.29700600
-499.41627446,4.30066800
-499.40627447,4.28830800
-499.39627447,4.28891800
-499.38627447,4.31730100
-499.37627447,4.28968200
-499.36627447,4.28754500
-499.35627447,4.27732200
-499.34627447,4.27594900
-499.33627447,4.29410700
-499.32627447,4.28312000
-499.31627447,4.28098400
-499.30627447,4.29624300
-499.29627447,4.31516500
-499.28627447,4.29548000
-499.27627447,4.29624300
-499.26627447,4.28388300
-499.25627447,4.27015000
-499.24627447,4.30860300
-499.23627447,4.28754500
-499.22627447,4.28312000
-499.21627447,4.28022100
-499.20627447,4.29548000
-499.19627447,4.29334400
-499.18627447,4.30066800
-499.17627447,4.25412800
-499.16627447,4.27732200
-499.15627447,4.29410700
-499.14627447,4.30204200
-499.13627447,4.30127900
-499.12627447,4.28312000
-499.11627447,4.28968200
-499.10627447,4.27366000
-499.09627447,4.28540900
-499.08627447,4.28098400
-499.07627447,4.30066800
-499.06627447,4.30356700
-499.05627447,4.28464600
-499.04627447,4.29487000
-499.03627447,4.29197100
-499.02627447,4.29624300
-499.01627447,4.29120800
-499.00627448,4.29258100
-498.99627448,4.28098400
-498.98627448,4.30417800
-498.97627448,4.29410700
-498.96627448,4.29334400
-498.95627448,4.28678200
-498.94627448,4.28601900
-498.93627448,4.30127900
-498.92627448,4.29334400
-498.91627448,4.28174700
-498.90627448,4.27366000
-498.89627448,4.29258100
-498.88627448,4.27152300
-498.87627448,4.29487000
-498.86627448,4.27442300
-498.85627448,4.30784000
-498.84627448,4.27442300
-498.83627448,4.29776900
