Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
131,1702727351449,1.33908976E8,148.41711
132,1702727351449,1.3390932E8,150.67561
133,1702727351449,1.33909664E8,148.86108
134,1702727351449,1.33910008E8,148.63022
135,1702727351449,1.33910352E8,148.0087
136,1702727351449,1.33910696E8,148.31894
137,1702727351451,1.3391104E8,147.73927
138,1702727351451,1.33911392E8,148.42108
139,1702727351451,1.33911736E8,148.16614
140,1702727351451,1.3391208E8,148.28667
141,1702727351451,1.33912424E8,146.97675
142,1702727351452,1.33912768E8,148.81564
143,1702727351452,1.3391312E8,149.08147
144,1702727351452,1.33913464E8,151.2787
145,1702727351454,1.33913808E8,150.55344
146,1702727351454,1.33914152E8,148.73132
147,1702727351454,1.33914496E8,149.83539
148,1702727351454,1.3391484E8,150.15686
149,1702727351454,1.33915184E8,149.35089
150,1702727351454,1.33915536E8,149.74118
151,1702727351456,1.3391588E8,150.55344
152,1702727351456,1.33916224E8,151.64102
153,1702727351456,1.33916568E8,149.40028
154,1702727351456,1.33916912E8,148.785
155,1702727351457,1.33917256E8,151.34094
156,1702727351457,1.339176E8,150.5564
157,1702727351457,1.33917952E8,152.4941
158,1702727351458,1.33918296E8,151.78462
159,1702727351458,1.3391864E8,151.1249
160,1702727351458,1.33918984E8,152.38472
161,1702727351460,1.33919328E8,151.21315
162,1702727351460,1.3391968E8,152.6571
163,1702727351460,1.33920024E8,152.99078
164,1702727351460,1.33920368E8,151.92
165,1702727351460,1.33920712E8,151.08041
166,1702727351460,1.33921056E8,153.12778
167,1702727351462,1.339214E8,155.34644
168,1702727351462,1.33921744E8,154.0227
169,1702727351462,1.33922096E8,153.7569
170,1702727351462,1.3392244E8,155.46306
171,1702727351462,1.33922784E8,152.36926
172,1702727351462,1.33923128E8,152.05405
173,1702727351463,1.33923472E8,153.42061
174,1702727351463,1.33923824E8,152.87846
175,1702727351463,1.33924168E8,152.88603
176,1702727351465,1.33924512E8,152.19138
177,1702727351465,1.33924856E8,151.52144
178,1702727351465,1.339252E8,150.91737
