Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
166,1702662653289,5151363.0,132.92873
167,1702662653291,5151708.0,134.24039
168,1702662653291,5152054.0,131.97026
169,1702662653291,5152399.0,133.72366
170,1702662653291,5152744.0,132.21553
171,1702662653291,5153090.0,130.02557
172,1702662653292,5153435.0,132.03575
173,1702662653292,5153780.0,133.23709
174,1702662653293,5154125.0,132.49693
175,1702662653293,5154471.0,132.55843
176,1702662653293,5154816.0,131.07254
177,1702662653295,5155161.0,130.97571
178,1702662653295,5155507.0,132.21553
179,1702662653295,5155852.0,130.65305
180,1702662653295,5156197.0,133.22797
181,1702662653295,5156542.0,131.18645
182,1702662653295,5156888.0,130.59033
183,1702662653296,5157233.0,131.74246
184,1702662653296,5157578.0,130.1752
185,1702662653296,5157924.0,131.59602
186,1702662653298,5158269.0,131.60078
187,1702662653298,5158614.0,132.01909
188,1702662653298,5158960.0,130.328
189,1702662653298,5159305.0,131.18764
190,1702662653298,5159650.0,131.60951
191,1702662653298,5159995.0,132.97595
192,1702662653299,5160341.0,132.93904
193,1702662653299,5160686.0,132.32747
194,1702662653299,5161031.0,131.99011
195,1702662653300,5161377.0,130.26886
196,1702662653300,5161722.0,131.45116
197,1702662653300,5162067.0,130.78003
198,1702662653300,5162412.0,131.47656
199,1702662653301,5162758.0,132.3473
200,1702662653301,5163103.0,129.98987
201,1702662653301,5163449.0,131.22891
202,1702662653302,5163794.0,132.78505
203,1702662653302,5164139.0,133.08946
204,1702662653302,5164485.0,132.47469
205,1702662653304,5164830.0,128.83574
206,1702662653304,5165175.0,131.84407
207,1702662653304,5165520.0,131.87303
208,1702662653304,5165866.0,129.73863
209,1702662653304,5166211.0,131.49997
210,1702662653304,5166556.0,133.06287
211,1702662653305,5166902.0,132.57631
212,1702662653305,5167247.0,132.63542
213,1702662653305,5167592.0,133.38434
214,1702662653306,5167938.0,132.40446
215,1702662653306,5168283.0,133.27837
216,1702662653306,5168628.0,133.9356
217,1702662653308,5168973.0,132.3072
218,1702662653308,5169319.0,129.94183
