Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
150,1702661974692,4.63117824E8,122.29944
151,1702661974694,4.63118144E8,122.57665
152,1702661974694,4.63118496E8,124.43698
153,1702661974694,4.63118848E8,122.96081
154,1702661974694,4.631192E8,122.85047
155,1702661974694,4.63119552E8,123.51242
156,1702661974694,4.63119872E8,121.17942
157,1702661974695,4.63120224E8,124.644745
158,1702661974695,4.63120576E8,125.62586
159,1702661974697,4.63120928E8,122.71047
160,1702661974697,4.63121248E8,122.88687
161,1702661974697,4.631216E8,121.658226
162,1702661974697,4.63121952E8,123.46032
163,1702661974697,4.63122304E8,123.85737
164,1702661974697,4.63122656E8,124.74892
165,1702661974699,4.63122976E8,121.21582
166,1702661974699,4.63123328E8,123.96267
167,1702661974699,4.6312368E8,121.72767
168,1702661974699,4.63124032E8,119.98268
169,1702661974699,4.63124384E8,123.48723
170,1702661974699,4.63124704E8,124.37706
171,1702661974700,4.63125056E8,125.53461
172,1702661974700,4.63125408E8,121.080284
173,1702661974700,4.6312576E8,122.64888
174,1702661974701,4.63126112E8,122.99889
175,1702661974701,4.63126432E8,120.86468
176,1702661974701,4.63126784E8,122.44112
177,1702661974701,4.63127136E8,123.462
178,1702661974702,4.63127488E8,125.340836
179,1702661974702,4.63127808E8,124.1581
180,1702661974702,4.6312816E8,123.18146
181,1702661974704,4.63128512E8,124.56131
182,1702661974704,4.63128864E8,124.07634
183,1702661974704,4.63129216E8,124.51538
184,1702661974704,4.63129536E8,125.244514
185,1702661974704,4.63129888E8,125.923805
186,1702661974704,4.6313024E8,126.13771
187,1702661974705,4.63130592E8,123.817604
188,1702661974705,4.63130944E8,123.75937
189,1702661974705,4.63131264E8,126.213326
190,1702661974706,4.63131616E8,122.79727
191,1702661974706,4.63131968E8,124.2634
192,1702661974706,4.6313232E8,123.217834
193,1702661974707,4.63132672E8,124.44929
194,1702661974707,4.63132992E8,122.31679
195,1702661974707,4.63133344E8,123.63843
196,1702661974709,4.63133696E8,126.32531
197,1702661974709,4.63134048E8,128.17445
198,1702661974709,4.631344E8,125.306114
199,1702661974709,4.6313472E8,124.82899
200,1702661974709,4.63135072E8,127.40556
201,1702661974711,4.63135424E8,126.33316
202,1702661974711,4.63135776E8,125.12523
203,1702661974711,4.63136128E8,126.424446
204,1702661974711,4.63136448E8,126.460846
205,1702661974711,4.631368E8,125.1437
206,1702661974712,4.63137152E8,126.089
207,1702661974712,4.63137504E8,124.46667
208,1702661974712,4.63137824E8,124.95051
209,1702661974713,4.63138176E8,122.85551
210,1702661974713,4.63138528E8,124.78196
211,1702661974713,4.6313888E8,122.04125
212,1702661974715,4.63139232E8,123.24584
213,1702661974715,4.63139552E8,122.68864
214,1702661974715,4.63139904E8,121.84247
215,1702661974715,4.63140256E8,121.28359
216,1702661974715,4.63140608E8,119.39689
217,1702661974715,4.6314096E8,123.67929
218,1702661974716,4.6314128E8,122.54529
219,1702661974716,4.63141632E8,123.0364
220,1702661974718,4.63141984E8,121.25055
221,1702661974718,4.63142336E8,125.306114
222,1702661974718,4.63142688E8,124.38659
223,1702661974718,4.63143008E8,117.678215
224,1702661974718,4.6314336E8,123.0364
225,1702661974718,4.63143712E8,122.381195
226,1702661974719,4.63144064E8,119.34314
227,1702661974719,4.63144384E8,123.84787
228,1702661974719,4.63144736E8,119.952446
229,1702661974721,4.63145088E8,122.57665
230,1702661974721,4.6314544E8,121.56862
231,1702661974721,4.63145792E8,122.13703
232,1702661974721,4.63146112E8,125.86667
233,1702661974721,4.63146464E8,125.66395
234,1702661974721,4.63146816E8,121.8363
235,1702661974722,4.63147168E8,121.22364
236,1702661974722,4.6314752E8,122.34534
237,1702661974722,4.6314784E8,122.3767
238,1702661974722,4.63148192E8,125.90924
239,1702661974724,4.63148544E8,123.52809
240,1702661974724,4.63148896E8,125.54243
241,1702661974724,4.63149248E8,123.462
242,1702661974724,4.63149568E8,126.52694
243,1702661974724,4.6314992E8,124.50753
244,1702661974724,4.63150272E8,126.79294
245,1702661974726,4.63150624E8,122.838165
246,1702661974726,4.63150976E8,126.01341
247,1702661974726,4.63151296E8,125.89358
248,1702661974726,4.63151648E8,124.12169
249,1702661974726,4.63152E8,125.54692
250,1702661974726,4.63152352E8,125.05242
251,1702661974727,4.63152704E8,124.372025
252,1702661974727,4.63153024E8,125.75691
253,1702661974727,4.63153376E8,124.67947
254,1702661974729,4.63153728E8,126.646774
255,1702661974729,4.6315408E8,124.09985
256,1702661974729,4.631544E8,125.984825
257,1702661974729,4.63154752E8,122.72
258,1702661974729,4.63155104E8,125.53797
259,1702661974729,4.63155456E8,125.82413
260,1702661974731,4.63155808E8,127.77741
261,1702661974731,4.63156128E8,125.21932
262,1702661974731,4.6315648E8,124.40507
263,1702661974731,4.63156832E8,126.87469
264,1702661974732,4.63157184E8,125.288765
265,1702661974732,4.63157536E8,122.74856
266,1702661974732,4.63157856E8,126.153404
267,1702661974734,4.63158208E8,124.33113
268,1702661974734,4.6315856E8,124.82899
269,1702661974734,4.63158912E8,122.50607
270,1702661974734,4.63159264E8,121.40621
271,1702661974734,4.63159584E8,121.800476
272,1702661974734,4.63159936E8,123.98786
273,1702661974736,4.63160288E8,122.52177
274,1702661974736,4.6316064E8,122.5436
275,1702661974736,4.63160992E8,123.99568
276,1702661974736,4.63161312E8,124.24321
277,1702661974736,4.63161664E8,123.41778
278,1702661974737,4.63162016E8,124.33113
279,1702661974737,4.63162368E8,120.8899
280,1702661974737,4.63162688E8,120.67261
281,1702661974739,4.6316304E8,122.72617
282,1702661974739,4.63163392E8,122.21936
283,1702661974739,4.63163744E8,119.27201
284,1702661974739,4.63164096E8,124.891716
285,1702661974739,4.63164416E8,120.48668
286,1702661974739,4.63164768E8,122.786095
287,1702661974740,4.6316512E8,119.96362
288,1702661974740,4.63165472E8,124.96617
289,1702661974740,4.63165824E8,125.53907
290,1702661974740,4.63166144E8,123.252556
291,1702661974741,4.63166496E8,122.71832
292,1702661974741,4.63166848E8,122.919914
293,1702661974741,4.631672E8,123.49504
294,1702661974742,4.63167552E8,122.79113
295,1702661974742,4.63167872E8,122.310646
296,1702661974742,4.63168224E8,119.82644
297,1702661974744,4.63168576E8,123.16912
298,1702661974744,4.63168928E8,124.717
299,1702661974744,4.6316928E8,121.62069
300,1702661974744,4.631696E8,124.27011
301,1702661974744,4.63169952E8,124.12169
302,1702661974744,4.63170304E8,127.448135
303,1702661974745,4.63170656E8,125.676285
304,1702661974745,4.63171008E8,125.86221
305,1702661974745,4.63171328E8,122.87737
306,1702661974746,4.6317168E8,124.3614
307,1702661974746,4.63172032E8,125.27307
308,1702661974746,4.63172384E8,124.767395
309,1702661974748,4.63172704E8,125.50603
310,1702661974748,4.63173056E8,125.507706
311,1702661974748,4.63173408E8,124.15305
312,1702661974748,4.6317376E8,127.44532
313,1702661974748,4.63174112E8,123.27439
314,1702661974748,4.63174432E8,127.14573
315,1702661974749,4.63174784E8,123.46985
316,1702661974749,4.63175136E8,127.42798
317,1702661974749,4.63175488E8,122.57833
318,1702661974750,4.6317584E8,124.537796
319,1702661974750,4.6317616E8,123.146736
320,1702661974750,4.63176512E8,123.63504
321,1702661974752,4.63176864E8,124.57866
322,1702661974752,4.63177216E8,125.70484
