Time,Channel A
(ms),(V)

-500.00998173,3.28287600
-499.99998173,3.27768800
-499.98998173,3.29004800
-499.97998173,3.31614100
-499.96998173,3.26899000
-499.95998173,3.29508400
-499.94998173,3.28867500
-499.93998173,3.26822700
-499.92998174,3.28058700
-499.91998174,3.26319200
-499.90998174,3.28135000
-499.89998174,3.28791200
-499.88998174,3.28424900
-499.87998174,3.29874600
-499.86998174,3.26975300
-499.85998174,3.26319200
-499.84998174,3.27478900
-499.83998174,3.27997700
-499.82998174,3.27921400
-499.81998174,3.28348600
-499.80998174,3.30393400
-499.79998174,3.29737200
-499.78998174,3.28714900
-499.77998174,3.28577500
-499.76998174,3.27921400
-499.75998174,3.28577500
-499.74998174,3.29218400
-499.73998174,3.29874600
-499.72998174,3.35978300
-499.71998174,3.30454400
-499.70998174,3.29798300
-499.69998174,3.26899000
-499.68998174,3.28867500
-499.67998174,3.27555200
-499.66998174,3.30240800
-499.65998174,3.31034300
-499.64998174,3.27631400
-499.63998174,3.28928500
-499.62998174,3.28928500
-499.61998174,3.26975300
-499.60998174,3.27707700
-499.59998174,3.26761700
-499.58998174,3.29447300
-499.57998174,3.28714900
-499.56998174,3.29874600
-499.55998174,3.28135000
-499.54998174,3.27265200
-499.53998175,3.27845100
-499.52998175,3.30317100
-499.51998175,3.28791200
-499.50998175,3.28058700
-499.49998175,3.26242900
-499.48998175,3.29157400
-499.47998175,3.28348600
-499.46998175,3.28424900
-499.45998175,3.29508400
-499.44998175,3.30683300
-499.43998175,3.29081100
-499.42998175,3.27845100
-499.41998175,3.28867500
-499.40998175,3.27707700
-499.39998175,3.30607000
-499.38998175,3.26181800
-499.37998175,3.28058700
-499.36998175,3.27921400
-499.35998175,3.28714900
-499.34998175,3.28714900
-499.33998175,3.28348600
-499.32998175,3.27997700
-499.31998175,3.26899000
-499.30998175,3.30317100
-499.29998175,3.30317100
-499.28998175,3.29081100
-499.27998175,3.26471800
-499.26998175,3.26761700
-499.25998175,3.28348600
-499.24998175,3.28501200
-499.23998175,3.30530700
-499.22998175,3.28058700
-499.21998175,3.28348600
-499.20998175,3.30393400
-499.19998175,3.26822700
-499.18998175,3.28287600
-499.17998175,3.26685400
-499.16998175,3.27997700
-499.15998175,3.27921400
-499.14998175,3.27051600
-499.13998176,3.26975300
-499.12998176,3.29371000
-499.11998176,3.28867500
-499.10998176,3.28501200
-499.09998176,3.30393400
-499.08998176,3.27768800
-499.07998176,3.26761700
-499.06998176,3.30027200
-499.05998176,3.27631400
-499.04998176,3.29004800
-499.03998176,3.28638600
-499.02998176,3.30088200
-499.01998176,3.29294700
-499.00998176,3.26761700
-498.99998176,3.29447300
-498.98998176,3.29874600
-498.97998176,3.28058700
-498.96998176,3.26975300
-498.95998176,3.28577500
-498.94998176,3.28135000
-498.93998176,3.28638600
-498.92998176,3.24869500
-498.91998176,3.28501200
-498.90998176,3.30027200
-498.89998176,3.29081100
-498.88998176,3.27402600
-498.87998176,3.26609100
-498.86998176,3.29737200
-498.85998176,3.29737200
-498.84998176,3.28287600
-498.83998176,3.32194000
