Time,Channel A
(ms),(V)

-500.01001358,3.28058700
-500.00001358,3.28424900
-499.99001358,3.30088200
-499.98001358,3.28287600
-499.97001358,3.28211300
-499.96001358,3.28501200
-499.95001358,3.28424900
-499.94001358,3.28928500
-499.93001358,3.28577500
-499.92001358,3.30454400
-499.91001358,3.28211300
-499.90001358,3.26761700
-499.89001358,3.28211300
-499.88001358,3.27997700
-499.87001358,3.27265200
-499.86001358,3.27768800
-499.85001358,3.27921400
-499.84001358,3.29508400
-499.83001358,3.28348600
-499.82001359,3.29798300
-499.81001359,3.29798300
-499.80001359,3.30088200
-499.79001359,3.29874600
-499.78001359,3.27997700
-499.77001359,3.29294700
-499.76001359,3.27707700
-499.75001359,3.27402600
-499.74001359,3.25891900
-499.73001359,3.27997700
-499.72001359,3.27265200
-499.71001359,3.29660900
-499.70001359,3.27478900
-499.69001359,3.29294700
-499.68001359,3.29218400
-499.67001359,3.28501200
-499.66001359,3.27921400
-499.65001359,3.31186900
-499.64001359,3.29218400
-499.63001359,3.29081100
-499.62001359,3.27112700
-499.61001359,3.30454400
-499.60001359,3.25891900
-499.59001359,3.30317100
-499.58001359,3.28928500
-499.57001359,3.26899000
-499.56001359,3.27341500
-499.55001359,3.27112700
-499.54001359,3.29294700
-499.53001359,3.28424900
-499.52001359,3.27768800
-499.51001359,3.27051600
-499.50001359,3.26899000
-499.49001359,3.27265200
-499.48001359,3.31186900
-499.47001359,3.30744300
-499.46001359,3.28867500
-499.45001359,3.25525700
-499.44001359,3.29798300
-499.43001359,3.26609100
-499.42001360,3.28058700
-499.41001360,3.27188900
-499.40001360,3.28577500
-499.39001360,3.28211300
-499.38001360,3.27997700
-499.37001360,3.28058700
-499.36001360,3.28577500
-499.35001360,3.26181800
-499.34001360,3.29081100
-499.33001360,3.27921400
-499.32001360,3.29218400
-499.31001360,3.30088200
-499.30001360,3.29584600
-499.29001360,3.28714900
-499.28001360,3.27112700
-499.27001360,3.28348600
-499.26001360,3.30164500
-499.25001360,3.28638600
-499.24001360,3.31186900
-499.23001360,3.28638600
-499.22001360,3.29950900
-499.21001360,3.27478900
-499.20001360,3.26471800
-499.19001360,3.29081100
-499.18001360,3.30240800
-499.17001360,3.28424900
-499.16001360,3.27997700
-499.15001360,3.26609100
-499.14001360,3.28501200
-499.13001360,3.30607000
-499.12001360,3.29004800
-499.11001360,3.31034300
-499.10001360,3.28791200
-499.09001360,3.29447300
-499.08001360,3.26899000
-499.07001360,3.28928500
-499.06001360,3.27402600
-499.05001360,3.29874600
-499.04001360,3.27768800
-499.03001361,3.30896900
-499.02001361,3.28211300
-499.01001361,3.29081100
-499.00001361,3.28424900
-498.99001361,3.27921400
-498.98001361,3.29218400
-498.97001361,3.29874600
-498.96001361,3.29218400
-498.95001361,3.28501200
-498.94001361,3.27112700
-498.93001361,3.27631400
-498.92001361,3.27555200
-498.91001361,3.28424900
-498.90001361,3.29798300
-498.89001361,3.29294700
-498.88001361,3.28287600
-498.87001361,3.28501200
-498.86001361,3.28928500
-498.85001361,3.26242900
-498.84001361,3.27997700
