Time,Channel A
(ms),(V)

-500.00821234,3.28638600
-499.99821234,3.27555200
-499.98821234,3.27631400
-499.97821234,3.29004800
-499.96821234,3.29004800
-499.95821234,3.29584600
-499.94821234,3.26761700
-499.93821234,3.30240800
-499.92821234,3.28287600
-499.91821234,3.27112700
-499.90821234,3.28287600
-499.89821234,3.31690400
-499.88821234,3.28424900
-499.87821234,3.29508400
-499.86821234,3.29157400
-499.85821234,3.26609100
-499.84821234,3.29371000
-499.83821234,3.29294700
-499.82821234,3.28867500
-499.81821234,3.27845100
-499.80821234,3.27921400
-499.79821234,3.26822700
-499.78821234,3.28424900
-499.77821234,3.31553100
-499.76821234,3.25952900
-499.75821234,3.30027200
-499.74821234,3.28058700
-499.73821234,3.28714900
-499.72821235,3.29447300
-499.71821235,3.28135000
-499.70821235,3.26105500
-499.69821235,3.29584600
-499.68821235,3.29737200
-499.67821235,3.30607000
-499.66821235,3.27112700
-499.65821235,3.29798300
-499.64821235,3.26242900
-499.63821235,3.30027200
-499.62821235,3.28424900
-499.61821235,3.29004800
-499.60821235,3.30088200
-499.59821235,3.30088200
-499.58821235,3.28058700
-499.57821235,3.27265200
-499.56821235,3.27921400
-499.55821235,3.26761700
-499.54821235,3.26395500
-499.53821235,3.27768800
-499.52821235,3.30530700
-499.51821235,3.30607000
-499.50821235,3.29294700
-499.49821235,3.28501200
-499.48821235,3.29157400
-499.47821235,3.28135000
-499.46821235,3.27478900
-499.45821235,3.26899000
-499.44821235,3.29660900
-499.43821235,3.28058700
-499.42821235,3.30317100
-499.41821235,3.30607000
-499.40821235,3.29218400
-499.39821235,3.28714900
-499.38821235,3.28424900
-499.37821235,3.30088200
-499.36821235,3.29660900
-499.35821235,3.28501200
-499.34821235,3.28135000
-499.33821236,3.28287600
-499.32821236,3.27845100
-499.31821236,3.28211300
-499.30821236,3.27402600
-499.29821236,3.28714900
-499.28821236,3.28424900
-499.27821236,3.27341500
-499.26821236,3.32483900
-499.25821236,3.27768800
-499.24821236,3.29508400
-499.23821236,3.28867500
-499.22821236,3.31034300
-499.21821236,3.30317100
-499.20821236,3.30744300
-499.19821236,3.27997700
-499.18821236,3.29157400
-499.17821236,3.32270300
-499.16821236,3.28714900
-499.15821236,3.26899000
-499.14821236,3.28791200
-499.13821236,3.29737200
-499.12821236,3.26761700
-499.11821236,3.26975300
-499.10821236,3.28791200
-499.09821236,3.30393400
-499.08821236,3.27631400
-499.07821236,3.27341500
-499.06821236,3.26532800
-499.05821236,3.27402600
-499.04821236,3.27555200
-499.03821236,3.28211300
-499.02821236,3.28867500
-499.01821236,3.27997700
-499.00821236,3.26532800
-498.99821236,3.27845100
-498.98821236,3.25815600
-498.97821236,3.29584600
-498.96821236,3.29447300
-498.95821236,3.30088200
-498.94821236,3.27921400
-498.93821237,3.27768800
-498.92821237,3.29157400
-498.91821237,3.27921400
-498.90821237,3.29081100
-498.89821237,3.27112700
-498.88821237,3.28501200
-498.87821237,3.29157400
-498.86821237,3.28424900
-498.85821237,3.28501200
-498.84821237,3.27768800
-498.83821237,3.26105500
