Time,Channel A
(ms),(V)

-500.00628664,3.26181800
-499.99628664,3.28424900
-499.98628664,3.26181800
-499.97628664,3.29660900
-499.96628664,3.27707700
-499.95628664,3.26761700
-499.94628664,3.29737200
-499.93628664,3.30088200
-499.92628665,3.29798300
-499.91628665,3.27188900
-499.90628665,3.26471800
-499.89628665,3.29081100
-499.88628665,3.29081100
-499.87628665,3.25815600
-499.86628665,3.28791200
-499.85628665,3.27997700
-499.84628665,3.26975300
-499.83628665,3.28424900
-499.82628665,3.28348600
-499.81628665,3.25663000
-499.80628665,3.28058700
-499.79628665,3.27051600
-499.78628665,3.28714900
-499.77628665,3.30607000
-499.76628665,3.28348600
-499.75628665,3.28211300
-499.74628665,3.25312000
-499.73628665,3.27768800
-499.72628665,3.28211300
-499.71628665,3.28058700
-499.70628665,3.27768800
-499.69628665,3.26395500
-499.68628665,3.29157400
-499.67628665,3.27997700
-499.66628665,3.25602000
-499.65628665,3.27402600
-499.64628665,3.27188900
-499.63628665,3.30454400
-499.62628665,3.27402600
-499.61628665,3.30683300
-499.60628665,3.27555200
-499.59628665,3.28577500
-499.58628665,3.34086100
-499.57628665,3.27478900
-499.56628665,3.27845100
-499.55628665,3.27402600
-499.54628665,3.27265200
-499.53628665,3.28058700
-499.52628666,3.28287600
-499.51628666,3.27921400
-499.50628666,3.29081100
-499.49628666,3.28424900
-499.48628666,3.28867500
-499.47628666,3.29737200
-499.46628666,3.27707700
-499.45628666,3.28135000
-499.44628666,3.27768800
-499.43628666,3.29371000
-499.42628666,3.29371000
-499.41628666,3.29004800
-499.40628666,3.26609100
-499.39628666,3.26471800
-499.38628666,3.28867500
-499.37628666,3.28287600
-499.36628666,3.28501200
-499.35628666,3.27112700
-499.34628666,3.27402600
-499.33628666,3.29660900
-499.32628666,3.29157400
-499.31628666,3.27997700
-499.30628666,3.27555200
-499.29628666,3.28714900
-499.28628666,3.27707700
-499.27628666,3.29660900
-499.26628666,3.27341500
-499.25628666,3.27265200
-499.24628666,3.26242900
-499.23628666,3.29798300
-499.22628666,3.28501200
-499.21628666,3.29218400
-499.20628666,3.27631400
-499.19628666,3.29081100
-499.18628666,3.28867500
-499.17628666,3.27768800
-499.16628666,3.29737200
-499.15628666,3.27631400
-499.14628666,3.27631400
-499.13628667,3.27707700
-499.12628667,3.27341500
-499.11628667,3.29004800
-499.10628667,3.27051600
-499.09628667,3.28287600
-499.08628667,3.29737200
-499.07628667,3.25739300
-499.06628667,3.30896900
-499.05628667,3.29737200
-499.04628667,3.27112700
-499.03628667,3.29218400
-499.02628667,3.24076100
-499.01628667,3.27921400
-499.00628667,3.27051600
-498.99628667,3.28287600
-498.98628667,3.27402600
-498.97628667,3.28791200
-498.96628667,3.29660900
-498.95628667,3.27707700
-498.94628667,3.27051600
-498.93628667,3.26532800
-498.92628667,3.30896900
-498.91628667,3.27921400
-498.90628667,3.25159500
-498.89628667,3.31110600
-498.88628667,3.28501200
-498.87628667,3.28867500
-498.86628667,3.27051600
-498.85628667,3.28424900
-498.84628667,3.27768800
-498.83628667,3.27265200
