Time,Channel A
(ms),(V)

-500.00994989,3.28577500
-499.99994989,3.30317100
-499.98994989,3.28638600
-499.97994989,3.22687500
-499.96994989,3.28928500
-499.95994989,3.25891900
-499.94994989,3.27051600
-499.93994989,3.25952900
-499.92994989,3.27921400
-499.91994989,3.28867500
-499.90994989,3.29584600
-499.89994989,3.26609100
-499.88994989,3.25373100
-499.87994989,3.27631400
-499.86994989,3.28135000
-499.85994989,3.28135000
-499.84994989,3.28348600
-499.83994989,3.27921400
-499.82994989,3.29737200
-499.81994989,3.29447300
-499.80994989,3.28135000
-499.79994989,3.27478900
-499.78994989,3.29447300
-499.77994989,3.28577500
-499.76994989,3.22031300
-499.75994989,3.26822700
-499.74994989,3.29798300
-499.73994989,3.29157400
-499.72994989,3.24655900
-499.71994989,3.29294700
-499.70994989,3.26242900
-499.69994989,3.26532800
-499.68994989,3.28928500
-499.67994989,3.29157400
-499.66994989,3.27402600
-499.65994989,3.28287600
-499.64994990,3.28638600
-499.63994990,3.28348600
-499.62994990,3.30973200
-499.61994990,3.29798300
-499.60994990,3.28211300
-499.59994990,3.29660900
-499.58994990,3.27478900
-499.57994990,3.27997700
-499.56994990,3.27707700
-499.55994990,3.28211300
-499.54994990,3.28058700
-499.53994990,3.26319200
-499.52994990,3.28638600
-499.51994990,3.28348600
-499.50994990,3.28638600
-499.49994990,3.27707700
-499.48994990,3.29081100
-499.47994990,3.29371000
-499.46994990,3.28867500
-499.45994990,3.28577500
-499.44994990,3.27631400
-499.43994990,3.26471800
-499.42994990,3.29798300
-499.41994990,3.27478900
-499.40994990,3.27707700
-499.39994990,3.29447300
-499.38994990,3.29294700
-499.37994990,3.29371000
-499.36994990,3.27188900
-499.35994990,3.30454400
-499.34994990,3.27707700
-499.33994990,3.30164500
-499.32994990,3.29081100
-499.31994990,3.29584600
-499.30994990,3.27051600
-499.29994990,3.28577500
-499.28994990,3.28348600
-499.27994990,3.27997700
-499.26994990,3.30820600
-499.25994991,3.28424900
-499.24994991,3.27707700
-499.23994991,3.29371000
-499.22994991,3.29447300
-499.21994991,3.30607000
-499.20994991,3.28424900
-499.19994991,3.29004800
-499.18994991,3.28135000
-499.17994991,3.26395500
-499.16994991,3.28501200
-499.15994991,3.25739300
-499.14994991,3.30027200
-499.13994991,3.27051600
-499.12994991,3.27707700
-499.11994991,3.29447300
-499.10994991,3.29218400
-499.09994991,3.28287600
-499.08994991,3.28928500
-499.07994991,3.28867500
-499.06994991,3.28348600
-499.05994991,3.28135000
-499.04994991,3.28577500
-499.03994991,3.27051600
-499.02994991,3.28791200
-499.01994991,3.25663000
-499.00994991,3.28287600
-498.99994991,3.27997700
-498.98994991,3.27845100
-498.97994991,3.29737200
-498.96994991,3.29004800
-498.95994991,3.28867500
-498.94994991,3.28714900
-498.93994991,3.28791200
-498.92994991,3.28577500
-498.91994991,3.29218400
-498.90994991,3.28867500
-498.89994991,3.27707700
-498.88994991,3.27188900
-498.87994991,3.27478900
-498.86994991,3.26609100
-498.85994992,3.27845100
-498.84994992,3.27112700
-498.83994992,3.28211300
