Time,Channel A
(ms),(V)

-500.00920018,3.30347600
-499.99920018,3.31431000
-499.98920018,3.28241800
-499.97920018,3.28745400
-499.96920018,3.28882700
-499.95920018,3.29767800
-499.94920018,3.27585700
-499.93920018,3.28745400
-499.92920019,3.28012900
-499.91920019,3.29111600
-499.90920019,3.28165500
-499.89920019,3.27585700
-499.88920019,3.27662000
-499.87920019,3.27372100
-499.86920019,3.28882700
-499.85920019,3.28241800
-499.84920019,3.28379200
-499.83920019,3.26929500
-499.82920019,3.29248900
-499.81920019,3.30271300
-499.80920019,3.29767800
-499.79920019,3.29187900
-499.78920019,3.27875600
-499.77920019,3.27951900
-499.76920019,3.27662000
-499.75920019,3.29401500
-499.74920019,3.25846100
-499.73920019,3.28669100
-499.72920019,3.31217400
-499.71920019,3.29401500
-499.70920019,3.27723000
-499.69920019,3.29111600
-499.68920019,3.29325200
-499.67920019,3.27723000
-499.66920019,3.27951900
-499.65920019,3.31431000
-499.64920019,3.28012900
-499.63920019,3.28455400
-499.62920019,3.27951900
-499.61920019,3.29477800
-499.60920019,3.30774900
-499.59920019,3.26929500
-499.58920019,3.28592800
-499.57920019,3.29691500
-499.56920019,3.26639600
-499.55920019,3.28821700
-499.54920019,3.28241800
-499.53920020,3.25769800
-499.52920020,3.27372100
-499.51920020,3.29187900
-499.50920020,3.29035300
-499.49920020,3.27875600
-499.48920020,3.30408600
-499.47920020,3.26349700
-499.46920020,3.27295800
-499.45920020,3.28821700
-499.44920020,3.29615200
-499.43920020,3.27143200
-499.42920020,3.28959000
-499.41920020,3.27433100
-499.40920020,3.27372100
-499.39920020,3.27005800
-499.38920020,3.28882700
-499.37920020,3.28592800
-499.36920020,3.29691500
-499.35920020,3.30118700
-499.34920020,3.28302900
-499.33920020,3.28241800
-499.32920020,3.27723000
-499.31920020,3.28959000
-499.30920020,3.27372100
-499.29920020,3.28165500
-499.28920020,3.28241800
-499.27920020,3.30195000
-499.26920020,3.28012900
-499.25920020,3.27143200
-499.24920020,3.27433100
-499.23920020,3.27585700
-499.22920020,3.27799300
-499.21920020,3.29615200
-499.20920020,3.28012900
-499.19920020,3.28241800
-499.18920020,3.30195000
-499.17920020,3.28821700
-499.16920020,3.29187900
-499.15920020,3.27295800
-499.14920020,3.29905100
-499.13920021,3.30118700
-499.12920021,3.29615200
-499.11920021,3.28165500
-499.10920021,3.28379200
-499.09920021,3.27372100
-499.08920021,3.29538900
-499.07920021,3.26273400
-499.06920021,3.28882700
-499.05920021,3.27433100
-499.04920021,3.28531800
-499.03920021,3.27951900
-499.02920021,3.27082100
-499.01920021,3.28241800
-499.00920021,3.28165500
-498.99920021,3.29477800
-498.98920021,3.28531800
-498.97920021,3.29401500
-498.96920021,3.29187900
-498.95920021,3.28012900
-498.94920021,3.28455400
-498.93920021,3.31217400
-498.92920021,3.28012900
-498.91920021,3.28669100
-498.90920021,3.29248900
-498.89920021,3.26426000
-498.88920021,3.29477800
-498.87920021,3.27295800
-498.86920021,3.29691500
-498.85920021,3.26715900
-498.84920021,3.30118700
-498.83920021,3.26715900
