force_x,force_y,force_z,sensor_x,sensor_y,sensor_z,corrected_x,corrected_y,corrected_z,,,orientation,load on x,load on y,load on z,reading on x,reading on y,reading on z,compensate for orientation x,y,z
0,0,0,395390,-547075,947210,251370,-549405,1150070,,,z up,0,0,0,251370,-549405,1150070,,,
151,0,0,647975,-542255,944650,503955,-544585,1147510,,,sideways align to x,0,0,0,395390,-547075,947210,-144020,-2330,202860
287,0,0,874680,-538150,942260,730660,-540480,1145120,,,sideways align to y,0,0,0,253960,-467020,942820,-2590,-82385,207250
589,0,0,1380285,-528850,936215,1236265,-531180,1139075,,,z down,0,0,0,258130,-545120,745554,-6760,-4285,404516
872.1,0,0,1853330,-520040,926100,1709310,-522370,1128960,,,,,,,,,,,,
0,0,0,253960,-467020,942820,251370,-549405,1150070,,,,,,,,,,,,
0,151,0,252300,-209905,940530,249710,-292290,1147780,,,,,,,,,,,,
0,287,0,251360,21400,936105,248770,-60985,1143355,,,,,,,,,,,,
0,589,0,250655,536675,936030,248065,454290,1143280,,,,,,,,,,,,
0,872.1,0,247320,1019390,925515,244730,937005,1132765,,,,,,,,,,,,
0,0,0,258130,-545120,745554,251370,-549405,1150070,,,,,,,,,,,,
0,0,-151,261020,-539025,492895,254260,-543310,897411,,,,,,,,,,,,
0,0,-287,263100,-533985,266090,256340,-538270,670606,,,,,,,,,,,,
0,0,-589,269220,-522520,-239520,262460,-526805,164996,,,,,,,,,,,,
0,0,-872.1,271420,-510980,-712900,264660,-515265,-308384,,,,,,,,,,,,
