Time,Channel A
(ms),(V)

-500.01996756,3.30210300
-500.00996756,3.27875600
-499.99996756,3.29035300
-499.98996756,3.28211300
-499.97996756,3.30134000
-499.96996756,3.28638600
-499.95996756,3.30164500
-499.94996756,3.29142100
-499.93996756,3.28287600
-499.92996756,3.29416800
-499.91996756,3.29508400
-499.90996756,3.28241800
-499.89996756,3.28806400
-499.88996756,3.29950900
-499.87996756,3.29538900
-499.86996756,3.29096300
-499.85996756,3.30958000
-499.84996756,3.29096300
-499.83996756,3.29798300
-499.82996756,3.28821700
-499.81996756,3.31125800
-499.80996756,3.28669100
-499.79996756,3.29432100
-499.78996756,3.29248900
-499.77996756,3.29126900
-499.76996756,3.28150300
-499.75996756,3.30439200
-499.74996756,3.29004800
-499.73996756,3.29386300
-499.72996756,3.27997700
-499.71996756,3.30744300
-499.70996756,3.30286600
-499.69996756,3.29310000
-499.68996756,3.30546000
-499.67996756,3.29508400
-499.66996756,3.29218400
-499.65996757,3.30057700
-499.64996757,3.29599900
-499.63996757,3.29096300
-499.62996757,3.29325200
-499.61996757,3.28241800
-499.60996757,3.28806400
-499.59996757,3.27478900
-499.58996757,3.28562300
-499.57996757,3.29783000
-499.56996757,3.28791200
-499.55996757,3.28959000
-499.54996757,3.28959000
-499.53996757,3.29905100
-499.52996757,3.30713800
-499.51996757,3.28333400
-499.50996757,3.29996600
-499.49996757,3.30271300
-499.48996757,3.28409700
-499.47996757,3.29325200
-499.46996757,3.27692500
-499.45996757,3.30454400
-499.44996757,3.28119800
-499.43996757,3.28272300
-499.42996757,3.30256100
-499.41996757,3.29783000
-499.40996757,3.28836900
-499.39996757,3.28592800
-499.38996757,3.28745400
-499.37996757,3.29630400
-499.36996757,3.29660900
-499.35996757,3.29416800
-499.34996757,3.29371000
-499.33996757,3.29081100
-499.32996757,3.29783000
-499.31996757,3.29096300
-499.30996757,3.29950900
-499.29996757,3.29706700
-499.28996757,3.27570400
-499.27996757,3.30332400
-499.26996757,3.28852200
-499.25996758,3.29905100
-499.24996758,3.29310000
-499.23996758,3.29660900
-499.22996758,3.29844000
-499.21996758,3.30439200
-499.20996758,3.28852200
-499.19996758,3.29798300
-499.18996758,3.29371000
-499.17996758,3.29416800
-499.16996758,3.29874600
-499.15996758,3.29386300
-499.14996758,3.28836900
-499.13996758,3.29584600
-499.12996758,3.29905100
-499.11996758,3.29187900
-499.10996758,3.29172600
-499.09996758,3.29584600
-499.08996758,3.28959000
-499.07996758,3.29416800
-499.06996758,3.28760600
-499.05996758,3.29004800
-499.04996758,3.29752500
-499.03996758,3.29752500
-499.02996758,3.29248900
-499.01996758,3.30378100
-499.00996758,3.30240800
-498.99996758,3.30134000
-498.98996758,3.28699600
-498.97996758,3.30439200
-498.96996758,3.30256100
-498.95996758,3.29813500
-498.94996758,3.30713800
-498.93996758,3.29783000
-498.92996758,3.30256100
-498.91996758,3.28440200
-498.90996758,3.28562300
-498.89996758,3.28913200
-498.88996758,3.30256100
-498.87996758,3.29172600
-498.86996759,3.28836900
-498.85996759,3.29523600
-498.84996759,3.29905100
