=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.23 17:29:58 =~=~=~=~=~=~=~=~=~=~=~=
3268648,7571,47
3268707,2711,110
3268819,-2689,109
3268879,-5749,55
13115764,4691,251
13115875,3071,296
13115935,4151,338
13116047,-1429,351
13116107,-889,332
13116219,-3409,301
13116280,-2329,261
13116392,-5209,211
13116452,-3049,157
13116563,-8809,81
13116623,-5029,-6
13116735,-9349,-96
13116795,-6829,-195
13116907,-12949,-316
13116967,-15289,-489
13117079,-19609,-701
13117139,-20509,-942
13117251,-15289,-1154
13117311,-15829,-1334
13117423,-13849,-1503
13117483,-16909,-1676
13117595,-12949,-1841
13117655,-13309,-1982
13117767,-18889,-2159
13117827,-17809,-2361
13117939,-12049,-2518
13117999,-15469,-2658
13118112,-17989,-2834
13118172,-14029,-2998
13118285,-8629,-3102
13118345,-9169,-3175
13118457,-11689,-3265
13118517,-10789,-3365
13118629,-12409,-3468
13118689,-9169,-3559
13118801,-10069,-3635
13118861,-8449,-3705
13118973,-8269,-3763
13119033,-12409,-3845
13119145,-6649,-3916
13119205,-6649,-3950
13119317,-9169,-4000
13119377,-5029,-4038
13119489,-6289,-4059
13119549,-7729,-4096
13119661,-12049,-4168
13119721,-6649,-4233
13119833,-3949,-4246
13119893,-8269,-4269
13120005,11,-4267
13120065,5951,-4177
13120177,191,-4086
13120237,4691,-4005
13120349,7751,-3877
13120409,1811,-3769
13120521,5051,-3679
13120581,1451,-3593
13120693,7391,-3492
13120753,6491,-3362
13120865,7571,-3232
13120924,4151,-3119
13121036,2531,-3038
13121096,5951,-2947
13121208,6851,-2830
13121268,1271,-2744
13121380,-1429,-2711
13121440,-2509,-2702
13121552,-709,-2688
13121612,2351,-2644
13121724,551,-2593
13121784,-3589,-2580
13121896,-349,-2572
13121956,191,-2541
13122068,191,-2507
13122232,3251,-2454
13122344,7031,-2359
13122403,1811,-2275
13122515,-3049,-2254
13122575,3611,-2222
13122687,7931,-2122
13122747,9191,-1989
13122859,2531,-1891
13122919,2171,-1838
13123031,1991,-1789
13123091,11,-1754
13123203,5951,-1695
13123263,7211,-1592
13123375,1631,-1517
13123434,-889,-1493
13123546,551,-1476
13123606,11,-1454
13123718,1091,-1429
13123778,-1969,-1417
13123890,3971,-1387
13123950,4691,-1315
13124062,1271,-1262
13124122,6131,-1200
13124234,10631,-1080
13124294,12071,-925
13124406,14951,-745
13124466,2171,-628
13124577,2351,-592
13124637,-1429,-579
13124749,3251,-561
13124809,5231,-501
13124921,5051,-430
13124981,1451,-384
13125093,5771,-334
13125153,7931,-244
13125265,7391,-146
13125324,11,-98
13125436,-169,-97
13125496,191,-96
13125608,5231,-61
13125720,5051,3
13125779,6671,76
13125891,7391,163
13125951,6311,246
13126062,7571,330
13126122,9371,432
13126234,6311,524
13126293,6311,596
13126405,3791,652
13126465,5231,700
13126577,4331,751
13126636,9731,830
13126748,8111,931
13126808,12431,1047
13126919,12431,1189
13126979,16931,1358
13127091,14231,1536
13127151,18551,1721
13127263,25031,1972
13127323,15671,2201
13127434,15311,2367
13127494,13871,2520
13127606,8651,2629
13127666,10811,2718
13127778,9551,2811
13127837,11531,2907
13127949,14411,3033
13128009,15671,3183
13128121,16931,3347
13128181,18551,3527
13128292,16751,3703
13128352,17471,3870
13128464,17111,4038
13128524,17831,4206
13128636,14771,4357
13128696,10451,4460
13128807,9551,4529
13128867,4691,4561
13128979,11531,4606
13129039,7031,4664
13129151,12071,4725
13129210,4151,4767
13129322,10091,4797
13129382,10271,4864
13129494,12251,4944
13129658,11711,5032
13129769,6311,5081
13129829,1991,5070
13129941,5051,5050
13130001,731,5023
13130113,1271,4973
13130172,-3769,4896
13130284,3071,4830
13130344,11,4789
13130456,1991,4742
13130515,191,4696
13130627,-3049,4620
13130687,-4309,4516
13130799,-4849,4402
13130859,-7369,4271
13130971,-4489,4144
13131031,731,4068
13131143,9371,4081
13131202,7391,4134
13131314,-169,4128
13131374,-3409,4054
13131486,-889,3977
13131546,-2689,3905
13131658,191,3840
13131717,-5029,3762
13131829,-529,3680
13131889,11,3631
13132001,2171,3599
13132061,-5209,3535
13132173,-4489,3431
13132232,-6829,3317
13132344,-3769,3210
13132404,-7909,3097
13132516,-2689,2992
13132576,-5749,2902
13132688,-1069,2823
13132800,-5209,2748
13132860,-7009,2638
13132972,-12409,2484
13133032,-6469,2335
13133144,-12949,2184
13133204,-7009,2032
13133316,-5569,1928
13133376,-5749,1834
13133488,-8089,1724
13133548,-7009,1609
13133660,-7009,1501
13133720,-7909,1389
13133831,-6289,1283
13133891,-5389,1194
13134003,-7189,1101
13134063,-5029,1011
13134175,-3949,942
13134235,-5569,871
13134347,-4489,797
13134407,-1429,750
13134518,-2509,716
13134578,-6649,650
13134690,-7549,553
13134750,-4849,469
13134862,3611,455
13134922,-3229,452
13135034,-709,422
13135093,-3049,393
13135205,-2869,351
13135265,-889,323
13135377,-1249,306
13135437,-7549,247
13135549,-6649,155
13135609,-5389,78
13135720,371,46
13135780,-3769,24
13135892,-1069,-5
13135952,-5389,-46
13136064,371,-76
13136123,-1249,-81
13136235,191,-86
13136295,-3049,-103
13136407,-7009,-165
13136467,-6109,-245
13136579,-2689,-296
13136639,-6829,-352
13136751,-11509,-462
13136811,-12949,-609
13136923,-12769,-762
13136983,-13129,-914
13137095,-21589,-1120
13137155,-20689,-1370
13137267,-17449,-1591
13137327,-14569,-1771
13137439,-15649,-1937
13137499,-16369,-2113
13137611,-14569,-2280
13137671,-19429,-2464
13137784,-9529,-2614
13137844,-9529,-2700
13137956,-10069,-2789
13138119,-7549,-2864
13138231,-12409,-2953
13138292,-13849,-3080
13138404,-11689,-3201
13138464,-10789,-3301
13138576,-11689,-3400
13138636,-14929,-3524
13138748,-9349,-3632
13138808,-11689,-3718
13138920,-6649,-3786
13138980,-14389,-3870
13139092,-10969,-3980
13139152,-12589,-4077
13139264,-13849,-4191
13139324,-15469,-4322
13139436,-7729,-4413
13139496,-4669,-4435
13139608,-7369,-4455
13139668,-5209,-4478
13139780,-9529,-4514
13139840,1451,-4508
13139952,3071,-4423
13140012,191,-4348
13140124,5951,-4255
13140184,-4489,-4193
13140296,2891,-4151
13140356,1811,-4069
13140468,3251,-3987
13140528,-1249,-3925
13140640,-349,-3886
13140700,-5209,-3872
13140812,-3229,-3876
13140872,-2689,-3865
13140984,-3589,-3856
13141044,-4129,-3856
13141156,-7549,-3880
13141216,-8449,-3932
13141328,2171,-3922
13141388,1631,-3849
13141500,8111,-3740
13141560,1451,-3634
13141672,1991,-3567
13141732,1811,-3499
13141844,6311,-3404
13141903,371,-3320
13142015,9011,-3220
13142075,4691,-3094
13142187,4151,-3000
13142247,3071,-2918
13142359,5591,-2827
13142471,-889,-2763
13142531,2171,-2720
13142643,551,-2669
13142703,8111,-2582
13142815,1811,-2487
13142875,3431,-2424
13142987,3971,-2347
13143047,6131,-2255
13143159,6851,-2146
13143219,4511,-2048
13143331,6131,-1956
13143391,3431,-1872
13143503,-2689,-1844
13143563,1991,-1825
13143674,-709,-1794
13143734,371,-1774
13143846,3971,-1725
13143906,9371,-1620
13144018,9011,-1485
13144078,1271,-1402
13144190,-3409,-1398
13144250,551,-1398
13144362,1631,-1367
13144422,-889,-1345
13144534,-1789,-1345
13144594,-4669,-1369
13144706,4151,-1355
13144766,5411,-1278
13144878,6311,-1189
13144938,1451,-1126
13145050,371,-1100
13145110,4511,-1056
13145221,-1609,-1025
13145281,551,-1019
13145393,-1249,-1010
13145453,-4849,-1036
13145565,-2509,-1069
13145625,2531,-1055
13145737,-3769,-1050
13145797,3971,-1035
13145909,4331,-971
13145969,1631,-921
13146081,1271,-892
13146141,2711,-856
13146253,8111,-777
13146313,7571,-670
13146425,-169,-615
13146485,-2329,-623
13146597,-709,-634
13146656,2891,-613
13146768,6671,-545
13146828,7031,-453
13146940,11531,-331
13147000,14411,-165
13147112,21071,57
13147172,15851,287
13147283,17471,492
13147343,13151,677
13147455,14771,843
13147515,12251,1001
13147627,15851,1164
13147739,10271,1312
13147798,17651,1470
13147910,16571,1666
13147970,13151,1830
13148082,19811,2013
13148142,19451,2233
13148254,12791,2407
13148313,14231,2545
13148425,12071,2678
13148485,19811,2843
13148597,11711,3005
13148657,16571,3144
13148769,15131,3303
13148828,9371,3414
13148940,2531,3446
13149000,5771,3455
13149112,11891,3522
13149172,9731,3613
13149283,5951,3666
13149343,8831,3712
13149455,12071,3796
13149515,6131,3863
13149627,1991,3865
13149686,1991,3842
13149798,4691,3835
13149858,1631,3827
13149970,371,3792
13150029,-3049,3728
13150141,911,3668
13150201,11,3628
13150313,-2149,3569
13150373,-4309,3484
13150485,-349,3411
13150545,-1249,3359
13150656,-1609,3299
13150716,-4849,3218
13150828,-529,3144
13150888,-2689,3084
13151000,2891,3047
13151060,-4489,2999
13151172,-889,2928
13151232,-3049,2867
13151344,-2689,2795
13151403,-3049,2725
13151515,-3589,2649
13151575,551,2597
13151687,-169,2567
13151747,4691,2563
13151859,1271,2568
13151919,-1429,2535
13152030,-2689,2478
13152143,11,2430
13152202,-2509,2384
13152314,-8809,2284
13152374,-5029,2169
13152486,-10789,2043
13152546,-6649,1909
13152658,-7009,1800
13152718,-4309,1706
13152830,-8629,1604
13152890,-5389,1497
13153002,-1069,1438
13153062,-1609,1403
13153173,-5929,1338
13153233,11,1285
13153345,-1609,1259
13153405,1091,1240
13153517,-1069,1224
13153577,-5029,1171
13153689,-5209,1092
13153748,-10249,982
13153860,-2689,889
13153920,2891,879
13154032,11,887
13154092,-1249,868
13154204,-7549,802
13154263,-8269,693
13154375,-4309,606
13154435,-5389,538
13154547,-8809,442
13154607,-13669,297
13154719,-3949,183
13154779,-3229,136
13154891,-3049,95
13154950,-4129,49
13155062,-349,20
13155122,-5569,-16
13155234,-5209,-83
13155294,-6289,-154
13155406,-1429,-200
13155466,-3769,-230
13155578,1991,-238
13155638,2891,-205
13155749,-3049,-203
13155809,-10789,-287
13155921,-3769,-374
13155981,551,-390
13156093,-1249,-389
13156153,-4489,-420
13156265,-2869,-461
13156325,-7009,-517
13156437,-2329,-569
13156497,-4309,-603
13156609,-2509,-638
13156669,-12409,-723
13156781,-10069,-855
13156841,-13489,-991
13156953,-15829,-1162
13157013,-21229,-1379
13157125,-13129,-1576
13157289,-18529,-1754
13157401,-19429,-1969
13157462,-13849,-2152
13157574,-13669,-2297
13157634,-19249,-2474
13157746,-10609,-2629
13157806,-13669,-2748
13157918,-16369,-2901
13157978,-9529,-3027
13158090,-20509,-3177
13158150,-18889,-3383
13158262,-16009,-3559
13158322,-18889,-3732
13158434,-17449,-3912
13158494,-13129,-4054
13158606,-13849,-4172
13158666,-14389,-4296
13158778,-12049,-4408
13158838,-19969,-4553
13158950,-12949,-4701
13159011,-16189,-4825
13159123,-13849,-4952
13159183,-14029,-5064
13159295,-17989,-5201
13159355,-15649,-5346
13159467,-8809,-5432
13159527,-8269,-5471
13159639,-5209,-5487
13159699,-7549,-5498
13159811,-5029,-5508
13159871,-2869,-5488
13159983,-3229,-5458
13160043,-3589,-5432
13160155,1631,-5376
13160215,-1969,-5311
13160327,11,-5257
13160387,-3589,-5214
13160499,-1249,-5179
13160559,-709,-5127
13160671,-1609,-5077
13160731,11,-5024
13160843,1811,-4949
13160902,-349,-4879
13161014,-1969,-4832
13161074,-5389,-4818
13161186,11,-4791
13161246,1271,-4723
13161358,731,-4652
13161418,-1969,-4601
13161530,1811,-4545
13161590,-889,-4482
13161702,-3769,-4455
13161866,5231,-4391
13161978,5591,-4268
13162038,-4129,-4206
13162150,551,-4176
13162210,3251,-4100
13162322,1271,-4020
13162382,5051,-3931
13162494,5771,-3814
13162554,3431,-3709
13162665,2891,-3623
13162725,-5929,-3597
13162837,-3589,-3611
13162897,-3409,-3610
13163009,-3229,-3606
13163069,-3049,-3600
13163182,1811,-3563
13163241,-709,-3512
13163353,2531,-3457
13163413,-709,-3402
13163525,-1069,-3371
13163585,911,-3330
13163697,5951,-3245
13163757,11891,-3093
13163869,4331,-2953
13163929,5591,-2854
13164041,7211,-2739
13164101,-709,-2664
13164213,-1069,-2642
13164273,-529,-2619
13164385,5051,-2558
13164445,3251,-2474
13164557,5411,-2389
13164617,5771,-2289
13164729,9731,-2164
13164789,13511,-1992
13164901,8471,-1830
13164960,911,-1748
13165072,2891,-1703
13165132,1451,-1654
13165244,1991,-1612
13165304,1811,-1568
13165416,9551,-1478
13165476,4691,-1370
13165588,2171,-1310
13165752,7031,-1237
13165864,4511,-1149
13165924,2711,-1090
13166036,7391,-1013
13166096,11531,-882
13166208,6491,-759
13166267,5411,-675
13166379,4511,-604
13166439,5231,-536
13166551,7031,-453
13166611,1991,-391
13166723,3791,-350
13166783,8471,-269
13166895,11711,-139
13166955,15671,32
13167066,19631,252
13167126,21071,503
13167238,24671,783
13167298,18731,1044
13167410,19451,1269
13167469,18731,1492
13167581,17471,1699
13167641,21071,1919
13167753,20531,2154
13167813,16571,2359
13167925,16211,2534
13167984,17291,2712
13168096,17471,2895
13168156,18371,3083
13168268,16211,3260
13168328,16751,3425
13168439,15311,3583
13168499,6491,3674
13168611,12611,3747
13168671,10091,3842
13168783,17651,3968
13168895,17291,4136
13168955,18191,4306
13169066,7751,4414
13169126,9731,4468
13169238,4511,4501
13169298,5951,4511
13169410,11891,4566
13169469,11891,4657
13169581,7931,4723
13169641,1451,4722
13169753,-5209,4640
13169813,-1609,4539
13169925,-4489,4445
13169985,2351,4376
13170097,1991,4348
13170156,9731,4367
13170268,7211,4418
13170328,2531,4424
13170440,3431,4406
13170499,3431,4394
13170611,3611,4383
13170671,-4489,4323
13170783,-349,4238
13170843,-2149,4170
13170955,1271,4112
13171014,11,4069
13171126,4331,4045
13171186,4151,4048
13171298,-2329,4009
13171358,1091,3951
13171469,-3589,3886
13171529,-3229,3795
13171641,-4309,3700
13171701,-2689,3610
13171813,-2869,3531
13171873,-7009,3425
13171985,-2689,3321
13172045,-3949,3239
13172157,1091,3180
13172217,-3049,3128
13172329,-349,3068
13172389,1451,3037
13172500,4691,3037
13172560,-8989,2972
13172672,-7549,2832
13172732,-1249,2741
13172844,911,2705
13172904,-3229,2657
13173015,-4309,2577
13173076,-5569,2483
13173187,-3049,2398
13173248,-5209,2316
13173360,-2149,2242
13173472,1451,2209
13173531,3251,2211
13173643,-3589,2181
13173703,-2689,2115
13173815,-5209,2039
13173875,-2689,1964
13173987,-8809,1868
13174046,-2329,1775
13236698,9551,1798
13236767,2891,1853
13236827,-1969,1836
13236939,-9169,1743
13236999,-14569,1573
13237111,-15469,1366
13237170,-10789,1185
13237282,-11149,1033
13237342,-14029,863
13237454,-17089,658
13237514,-14569,452
13237626,-19789,232
13237686,-16729,1
13237798,-7729,-151
13237858,-7189,-242
13237970,-8449,-337
13238030,-7909,-434
13238142,-13669,-564
13238201,-17449,-751
13238313,-14569,-942
13238373,-10969,-1089
13238485,-11689,-1217
13238546,-14209,-1364
13238658,-15289,-1531
13238718,-9889,-1669
13238830,-10789,-1777
13238890,-10789,-1890
13239002,-12229,-2010
13239062,-11689,-2134
13239174,-10969,-2249
13239234,-8449,-2342
13239346,-15469,-2462
13239406,-11869,-2602
13239518,-9169,-2701
13239578,-8269,-2776
13239690,-5209,-2826
13239750,-6469,-2863
13239862,-4489,-2896
13239922,-5749,-2924
13240034,-14209,-3012
13240094,-2509,-3078
13240206,2711,-3039
13240266,-2689,-3001
13240378,-2869,-2998
13240438,-529,-2982
13240550,3971,-2923
13240610,-1069,-2868
13240722,3791,-2815
13240782,191,-2755
13240894,551,-2716
13240954,1811,-2668
13241066,1091,-2616
13241126,-3949,-2601
13241238,7571,-2546
13241298,191,-2466
13241410,371,-2432
13241470,-1969,-2411
13241582,1631,-2383
13241641,-5569,-2378
13241754,911,-2378
13241813,-2509,-2358
13241925,551,-2341
13241985,-1969,-2320
13242097,911,-2298
13242157,-1969,-2276
13242269,4871,-2229
13242329,1991,-2158
13242441,4331,-2092
13242501,-3589,-2061
13242613,-1429,-2067
13242673,-3769,-2074
13242785,-349,-2073
13242845,2171,-2036
13242957,551,-1994
13243070,-3409,-1987
13243130,6311,-1944
13243241,6851,-1837
13243301,5411,-1738
13243413,6131,-1644
13243473,9011,-1529
13243585,5411,-1420
13243645,9011,-1312
13243757,9371,-1181
13243817,12251,-1031
13243929,3251,-921
13243989,731,-885
13244101,3431,-848
13244161,4691,-787
13244273,7031,-704
13244332,6311,-611
13244444,-709,-569
13244504,5051,-535
13244616,911,-491
13244676,11,-479
13244788,3791,-449
13244848,-3049,-439
13244960,-709,-457
13245020,-349,-458
13245131,3791,-430
13245191,-2509,-417
13245303,1811,-416
13245363,3971,-375
13245475,191,-344
13245535,-2689,-356
13245647,-1969,-380
13245707,-889,-393
13245819,2711,-377
13245879,1091,-349
13245991,1091,-331
13246050,3431,-298
13246162,12071,-198
13246222,11171,-50
13246334,10811,87
13246394,6491,194
13246506,5231,265
13246565,3431,315
13246677,8831,388
13246737,6851,481
13246849,13151,600
13246908,18191,788
13247020,16031,992
13247080,15131,1174
13247192,13511,1338
13247252,18011,1518
13247363,17831,1723
13247423,9551,1873
13247535,8291,1961
13247595,10631,2054
13247707,14051,2183
13247819,13511,2328
13247879,14411,2473
13247990,12071,2607
13248050,18551,2766
13248162,15851,2946
13248222,15491,3105
13248334,11351,3234
13248393,12251,3341
13248505,11891,3450
13248565,13511,3566
13248677,7391,3651
13248737,11531,3724
13248849,15851,3848
13248908,13151,3982
13249020,10991,4083
13249080,8291,4152
13249192,12251,4228
13249252,14411,4342
13249364,9731,4439
13249423,5771,4480
13249535,7571,4507
13249595,2711,4515
13249707,2531,4491
13249766,2891,4469
13249878,3431,4453
13249938,-169,4418
13250050,11,4362
13250110,4151,4333
13250221,2891,4323
13250281,3251,4307
13250393,5231,4306
13250453,2891,4303
13250564,-1249,4260
13250624,1991,4211
13250736,-1969,4159
13250796,-4849,4064
13250908,-4129,3957
13250968,-4669,3853
13251080,-709,3771
13251140,191,3721
13251251,191,3677
13251311,2351,3647
13251423,4331,3643
13251483,551,3628
13251594,6131,3624
13251654,2891,3636
13251766,731,3613
13251826,4871,3603
13251938,5771,3624
13252050,-3229,3595
13252109,-3409,3508
13252221,-4309,3416
13252281,-349,3345
13252393,-2869,3283
13252453,-5749,3188
13252565,-5569,3077
13252625,-4129,2978
13252737,-5569,2881
13252797,-8809,2755
13252909,-5029,2634
13252969,371,2572
13253080,731,2547
13253140,191,2521
13253252,-709,2486
13253312,1631,2461
13253423,-4129,2414
13253483,-5569,2324
13253595,-2149,2247
13253655,-3589,2183
13253767,-4849,2103
13253827,-2149,2033
13253939,-7729,1946
13253999,-2509,1857
13254111,-4309,1792
13254171,-4129,1717
13254283,-6649,1628
13254342,-7369,1520
13254454,-6289,1416
13254514,-4669,1330
13254626,-4489,1256
13254686,-11329,1141
13254798,-9169,999
13254858,-1969,917
13254970,2171,907
13255030,371,911
13255141,-5389,869
13255201,-9709,764
13255313,-4849,663
13255373,-1609,615
13255485,-1969,584
13255545,-2329,550
13255657,3971,554
13255716,-2869,554
13255828,-709,524
13255888,-8269,462
13256000,-5389,371
13256060,-7189,288
13256172,-7189,194
13256231,-5929,110
13256343,-349,69
13256403,-4309,39
13256515,-169,11
13256575,-5569,-24
13256687,-5389,-92
13256799,-5209,-157
13256859,-14749,-280
13256971,-10429,-434
13257031,-13669,-579
13257143,-15109,-751
13257203,-12769,-916
13257315,-25189,-1141
13257375,-22489,-1425
13257487,-23029,-1691
13257547,-18529,-1930
13257659,-19069,-2140
13257719,-19609,-2355
13257831,-16549,-2551
13257891,-12769,-2703
13258003,-14749,-2841
13323511,15491,-2801
13323623,14771,-2577
13323683,5591,-2417
13323795,4331,-2325
13323855,3251,-2249
13323967,3611,-2178
13324027,6131,-2090
13324138,4511,-1997
13324198,2171,-1931
13324310,8831,-1838
13324370,1451,-1751
13324482,2171,-1706
13324542,1451,-1662
13324654,2531,-1617
13324714,5951,-1543
13324826,2171,-1473
13324886,-1249,-1449
13324998,1811,-1428
13325058,3791,-1375
13325170,7211,-1289
13325230,1271,-1220
13325342,2351,-1182
13325402,2351,-1138
13325514,7031,-1065
13325573,2711,-991
13325685,731,-957
13325745,-529,-944
13325857,7931,-886
13325917,4151,-799
13326029,6311,-724
13326193,2351,-661
13326305,3071,-619
13326364,2531,-576
13326476,5411,-519
13326536,3611,-456
13326648,2891,-410
13326708,3791,-363
13326820,5591,-300
13326880,6491,-221
13326992,7751,-129
13327052,5051,-48
13327163,9911,45
13327223,6851,149
13327335,7391,236
13327395,11351,351
13327506,13331,500
13327566,18011,690
13327678,20351,921
13327738,16031,1136
13327850,20891,1353
13327909,16031,1566
13328021,16931,1753
13328081,11711,1909
13328193,9191,2016
13328253,7211,2093
13328365,8651,2166
13328424,8831,2248
13328536,16571,2379
13328596,9911,2515
13328708,14051,2633
13328767,7931,2737
13328879,15671,2850
13328939,17291,3021
13329051,16751,3195
13329163,14231,3349
13329223,9731,3457
13329335,16391,3577
13329394,14591,3725
13329506,10631,3836
13329566,9911,3917
13329678,6671,3971
13329738,5411,3997
13329849,3071,4000
13329909,4871,4000
13330021,5051,4012
13330081,2171,4007
13330193,-709,3966
13330252,731,3917
13330364,11,3872
13330424,2891,3842
13330536,-1429,3803
13330595,-2149,3733
13330707,-2869,3655
13330767,-709,3587
13330879,-5389,3504
13330939,1091,3434
13331051,3251,3418
13331111,191,3397
13331222,-709,3351
13331282,1091,3312
13331394,6671,3319
13331454,9191,3376
13331566,4691,3421
13331625,2351,3422
13331737,-2509,3378
13331797,-3049,3302
13331909,-5029,3210
13331969,-3949,3114
13332081,-4309,3023
13332141,-889,2953
13332253,1091,2917
13332312,-2689,2871
13332424,191,2820
13332484,191,2787
13332596,-4489,2725
13332656,-3949,2638
13332768,911,2586
13332827,-8089,2509
13332939,-4129,2402
13332999,-5029,2314
13333111,-3589,2232
13333171,-5209,2149
13333283,-3769,2066
13333343,-5029,1985
13333455,-6289,1890
13333567,-4849,1797
13333627,551,1747
13333739,-5389,1695
13333799,-6109,1602
13333911,-11149,1475
13333971,-6829,1344
13334083,-4489,1256
13334142,-1609,1203
13334254,-8809,1123
13334314,-6289,1014
13334426,-9169,905
13334486,-6109,798
13334598,-7909,701
13334658,-7189,598
13334770,-6109,507
13334830,-2149,449
13334941,11,431
13335001,-4129,399
13335113,-2689,352
13335173,-2869,313
13335285,-2149,278
13335345,-169,260
13335456,-2689,238
13335516,-7009,175
13335628,-12229,53
13335688,-12589,-102
13335800,-8809,-234
13335860,11,-286
13335972,-2869,-301
13336032,-3589,-337
13336144,-6109,-394
13336204,-8629,-481
13336316,-3769,-552
13336376,-3049,-588
13336488,-2509,-615
13336547,-2149,-636
13336659,-889,-647
13336719,-1609,-655
13336831,-5929,-694
13336891,-13309,-805
13337003,-17449,-987
13337063,-14749,-1176
13337175,-13669,-1339
13337236,-12229,-1484
13337348,-18889,-1659
13337408,-19249,-1877
13337520,-14029,-2061
13337580,-13309,-2206
13337692,-14569,-2353
13337752,-18529,-2530
13337864,-19969,-2739
13337924,-15109,-2924
13338036,-11149,-3051
13338096,-16549,-3186
13338208,-18529,-3365
13338268,-19069,-3558
13338380,-18889,-3750
13338440,-15109,-3916
13338552,-14749,-4053
13338612,-15829,-4194
13338724,-12229,-4317
13338785,-9889,-4401
13338897,-9349,-4466
13338957,-12949,-4549
13339069,-12229,-4650
13339129,-10249,-4732
13339241,-7909,-4786
13339405,-9709,-4837
13339517,-8629,-4891
13339577,-6469,-4924
13339689,-5569,-4937
13339749,-8449,-4963
13339861,-2689,-4971
13339921,-8269,-4977
13340033,-9349,-5025
13340093,-9889,-5082
13340205,-7369,-5127
13340265,-3949,-5133
13340377,-889,-5099
13340437,-529,-5045
13340549,-169,-4986
13340609,-3049,-4944
13340721,-2149,-4915
13340781,-7369,-4913
13340893,-1789,-4908
13340953,3251,-4838
13341065,2351,-4743
13341125,-9709,-4729
13341237,-5209,-4763
13341297,1451,-4727
13341409,5951,-4622
13341469,3971,-4502
13341581,4151,-4395
13341641,3431,-4293
13341753,1271,-4210
13341813,-3409,-4171
13341925,731,-4136
13341985,-529,-4083
13342097,-2329,-4050
