force_x,force_y,force_z,sensor_x,sensor_y,sensor_z,corrected_x,corrected_y,corrected_z,,,orientation,load on x,load on y,load on z,reading on x,reading on y,reading on z,compensate for orientation x,y,z
0,0,0,-169110,-882600,638380,-28660,-898450,441800,,,z up,0,0,0,-28660,-898450,441800,,,
151,0,0,-420610,-887120,636260,-280160,-902970,439680,,,sideways align to x,0,0,0,-169110,-882600,638380,140450,-15850,-196580
287,0,0,-646600,-891440,635700,-506150,-907290,439120,,,sideways align to y,0,0,0,-32230,-791270,634425,3570,-107180,-192625
589,0,0,-1148370,-899960,633540,-1007920,-915810,436960,,,z down,0,0,0,-26240,-884600,838180,-2420,-13850,-396380
872.1,0,0,-1620770,-909640,634260,-1480320,-925490,437680,,,,,,,,,,,,
0,0,0,-32230,-791270,634425,-28660,-898450,441800,,,,,,,,,,,,
0,151,0,-37520,-538390,631740,-33950,-645570,439115,,,,,,,,,,,,
0,287,0,-42700,-311380,628860,-39130,-418560,436235,,,,,,,,,,,,
0,589,0,-53980,195080,624620,-50410,87900,431995,,,,,,,,,,,,
0,872.1,0,-64800,669300,623050,-61230,562120,430425,,,,,,,,,,,,
0,0,0,-26240,-884600,838180,-28660,-898450,441800,,,,,,,,,,,,
0,0,151,-24060,-880920,1083480,-26480,-894770,687100,,,,,,,,,,,,
0,0,287,-22140,-879200,1307500,-24560,-893050,911120,,,,,,,,,,,,
0,0,589,-19940,-872900,1797750,-22360,-886750,1401370,,,,,,,,,,,,
0,0,872.1,-17900,-867900,2257200,-20320,-881750,1860820,,,,,,,,,,,,
